,SPY,QQQ,^RUT,IWM,DIA,EFA,EEM,XLF,XLE,XLU,XLK,XLI,XLB,XLP,XLV,XLY,XBI,XHB,XME,XOP,XRT,XES,XSW,XSD,XTN,XAR
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,164.5690155029297,95.4114761352539,994.8699951171875,89.51373291015625,136.55154418945312,43.0984992980957,24.718461990356445,15.008320808410645,38.4716796875,34.59461975097656,35.80256652832031,42.30839538574219,32.501182556152344,40.097442626953125,59.019527435302734,65.77874755859375,52.32832717895508,27.491657257080078,10.674738883972168,84.16059875488281,34.67347717285156,124.79248809814453,42.57928466796875,36.21441650390625,34.77138137817383,45.00070571899414
2016-01-20,162.45997619628906,95.11881256103516,999.3099975585938,89.88530731201172,134.49501037597656,42.120269775390625,24.179243087768555,14.713900566101074,37.45164108276367,33.81731033325195,35.520729064941406,41.760406494140625,32.260318756103516,39.597049713134766,59.13429260253906,65.20135498046875,54.585391998291016,27.19243621826172,10.790672302246094,83.73750305175781,34.85087203979492,122.78564453125,43.173362731933594,36.93391799926758,34.84596252441406,44.78481674194336
2016-01-21,163.37010192871094,95.21322631835938,997.3400268554688,89.67686462402344,135.33973693847656,42.432979583740234,24.27339744567871,14.650811195373535,38.616355895996094,33.785884857177734,35.72074890136719,41.943077087402344,32.54420852661133,39.752906799316406,58.95774841308594,66.03538513183594,53.1895751953125,27.566469192504883,11.031454086303711,89.62557983398438,35.187950134277344,128.35018920898438,43.037017822265625,37.75893783569336,35.34935760498047,44.76603698730469
2016-01-22,166.72166442871094,97.97000885009766,1020.6599731445312,91.87008666992188,137.20860290527344,43.683834075927734,25.103620529174805,14.917191505432129,40.323638916015625,34.390472412109375,36.71172332763672,42.30839538574219,33.12918472290039,40.433780670166016,59.8934326171875,67.19020080566406,54.753692626953125,28.286483764648438,10.995780944824219,93.32766723632812,35.80885314941406,131.72544860839844,44.09858322143555,38.564762115478516,36.011234283447266,45.47945022583008
2016-01-25,164.201416015625,96.51609802246094,997.3699951171875,89.83092498779297,135.42515563964844,43.0984992980957,24.675670623779297,14.615757942199707,38.44272994995117,34.09995651245117,36.284423828125,41.78650665283203,32.071044921875,40.072837829589844,59.33732223510742,66.42033386230469,53.94193649291992,27.631921768188477,10.88877010345459,86.55811309814453,35.10811996459961,123.78909301757812,43.124664306640625,37.96999740600586,35.20953369140625,44.972557067871094
2016-01-26,166.44166564941406,97.38468170166016,1017.969970703125,91.62537384033203,137.84864807128906,43.86825942993164,25.03514862060547,14.86111068725586,39.896820068359375,34.33551025390625,36.63899230957031,42.57805252075195,32.621620178222656,40.441986083984375,59.78750991821289,67.39185333251953,53.565757751464844,28.20233154296875,11.477349281311035,92.16413116455078,35.933048248291016,128.89756774902344,43.47528076171875,38.4400520324707,36.73834991455078,45.761051177978516
2016-01-27,164.6302032470703,94.95831298828125,1002.75,90.36564636230469,135.93719482421875,43.587615966796875,24.949554443359375,14.805030822753906,39.70872497558594,34.41403579711914,35.88439178466797,42.09964370727539,32.36354446411133,40.400970458984375,59.10780715942383,66.33782958984375,51.13050079345703,27.8376407623291,11.406006813049316,92.58722686767578,35.42744445800781,131.08688354492188,42.62798309326172,37.82607650756836,36.28156661987305,44.644012451171875
2016-01-28,165.48780822753906,96.29893493652344,1003.27001953125,90.34752655029297,136.96969604492188,43.71591567993164,25.34327507019043,14.812041282653809,40.916839599609375,34.96364212036133,36.34806442260742,42.343196868896484,32.41515350341797,40.811126708984375,57.73075485229492,67.19020080566406,49.21001434326172,27.72543716430664,11.548690795898438,95.93672943115234,35.418575286865234,135.3743438720703,42.6474609375,38.07550048828125,35.69428634643555,44.625240325927734
2016-01-29,169.52198791503906,98.30988311767578,1035.3800048828125,93.31104278564453,140.26356506347656,44.48567581176758,26.164939880371094,15.225628852844238,42.11048126220703,35.66244125366211,37.49359893798828,43.48267364501953,33.352867126464844,41.63965606689453,58.67527389526367,67.92342376708984,50.04156494140625,28.538959503173828,12.404812812805176,100.44977569580078,36.40315246582031,141.30380249023438,43.60188674926758,39.735130310058594,36.98072814941406,45.573307037353516
2016-02-01,169.460693359375,98.5742416381836,1032.3900146484375,92.8851089477539,140.23785400390625,44.437557220458984,25.916730880737305,15.162540435791016,41.40876770019531,36.00006866455078,37.629966735839844,43.37828826904297,33.49049758911133,41.77910614013672,58.763553619384766,68.33586120605469,50.44744110107422,28.398700714111328,12.297796249389648,97.02972412109375,36.58943176269531,136.19537353515625,44.234928131103516,39.77350616455078,37.428192138671875,45.69533157348633
2016-02-02,166.40664672851562,96.44055938720703,1008.8400268554688,90.88221740722656,137.73773193359375,43.403202056884766,25.077939987182617,14.74194049835205,40.02703857421875,36.1571044921875,36.95720672607422,42.50846862792969,33.266822814941406,41.24589920043945,57.91611099243164,67.00690460205078,48.645748138427734,27.72543716430664,11.976754188537598,92.93980407714844,35.8620719909668,128.62387084960938,42.90068435668945,37.94118881225586,36.17903518676758,44.259159088134766
2016-02-03,167.4042510986328,95.97795104980469,1010.2999877929688,91.00003051757812,139.26516723632812,43.76402282714844,25.78833770751953,14.755956649780273,41.452178955078125,36.604652404785156,36.9117431640625,43.19561767578125,34.38520050048828,41.155662536621094,58.29570007324219,66.832763671875,48.87342834472656,27.669326782226562,12.716938972473145,97.02972412109375,35.63145446777344,132.27279663085938,42.93962860107422,37.864463806152344,36.55190658569336,45.15089797973633
2016-02-04,167.66680908203125,95.968505859375,1014.7899780273438,91.35348510742188,140.06727600097656,43.820152282714844,25.985197067260742,14.882140159606934,41.43046951293945,36.44761657714844,36.94811248779297,43.94367980957031,35.34009552001953,40.778316497802734,57.97792434692383,66.44783782958984,49.873260498046875,27.865697860717773,13.403616905212402,96.39507293701172,35.63145446777344,139.38815307617188,43.24154281616211,38.50720977783203,37.847679138183594,45.58271408081055
2016-02-05,164.4727325439453,92.63582611083984,985.6199951171875,88.85215759277344,138.18995666503906,43.1466178894043,25.685636520385742,14.685861587524414,40.468318939208984,36.56539535522461,35.91167068481445,43.52616882324219,34.93577194213867,40.712684631347656,56.84800338745117,64.30316925048828,48.00228500366211,27.229839324951172,13.385780334472656,92.65776824951172,34.69122314453125,137.1076202392578,40.80677032470703,37.26967239379883,37.17647933959961,44.53136444091797
2016-02-08,162.2587127685547,91.2196273803711,969.3400268554688,87.39302062988281,136.8330841064453,42.344783782958984,25.334714889526367,14.314335823059082,40.25852966308594,36.43976974487305,35.39344024658203,43.16082763671875,34.01528549194336,40.60604476928711,56.07120895385742,63.056705474853516,45.3492431640625,26.425661087036133,13.162835121154785,90.26020812988281,34.2831916809082,133.27621459960938,38.78103256225586,36.32954406738281,36.729026794433594,44.212215423583984
2016-02-09,162.26748657226562,90.93639373779297,963.9000244140625,86.80396270751953,136.73927307128906,41.85566329956055,24.983797073364258,14.293305397033691,39.28913879394531,36.56539535522461,35.22980499267578,43.421791076660156,34.43680191040039,40.87675476074219,56.48609924316406,62.955902099609375,45.41853332519531,26.659427642822266,12.752610206604004,86.73443603515625,34.176753997802734,125.15738677978516,38.936866760253906,36.118499755859375,37.2044563293457,43.85552978515625
2016-02-10,162.12750244140625,91.28575134277344,963.47998046875,86.84927368164062,136.013916015625,41.80754852294922,25.086502075195312,14.216192245483398,39.12998580932617,36.52613067626953,35.284339904785156,43.19561767578125,34.109901428222656,40.82752990722656,56.98925018310547,62.845909118652344,45.58682632446289,26.85580062866211,12.708020210266113,86.02925109863281,34.15900421142578,121.78218078613281,39.18034362792969,35.90743637084961,37.02734375,44.01510238647461
2016-02-11,160.01853942871094,91.153564453125,953.719970703125,85.90672302246094,133.80374145507812,41.198158264160156,24.667110443115234,13.781577110290527,38.96358871459961,35.882293701171875,35.211631774902344,42.351898193359375,33.37007522583008,40.49940872192383,56.07120895385742,62.809242248535156,45.270042419433594,26.163827896118164,12.770447731018066,84.26634979248047,34.05256271362305,119.13673400878906,39.238773345947266,35.49491882324219,36.50529479980469,42.92621994018555
