,1,2,3,4,13,33,41,61,73,97,117,127,137,142,143,145,147,148,149,150,161,162,163,164,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,187,188,598,601,602,603,604,605,606,637,646,658,690,694,700,701,702,703,704,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,742,743,800
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,1093.92,1120.65,40.63,1561.11,1643.07,1419.67,1360.88,834.31,1211.14,2629.5,581.23,1632.77,1285.44,1463.67,912.2,372.84,793.01,1453.53,472.61,1398.96,2025.22,2151.72,1309.76,1573.87,1508.72,437.25,1259.68,476.02,1143.66,1350.12,968.48,377.34,2387.48,,,,,,,,,,,,,,,338.34,342.99,310.63,335.32,333.52,345.03,236.35,268.87,339.85,399.66,,456.94,280.2,323.58,425.41,592.42,323.05,308.89,316.89,352.49,318.49,323.71,310.15,336.78,325.66,324.03,329.54,339.66,,,,,,,,,,,,,,,,,,,,,,,,,277.34
2017-01-04,1099.11,1125.96,41.25,1564.92,1647.93,1431.2,1383.42,831.72,1215.78,2672.06,584.41,1623.23,1287.77,1464.31,916.31,371.98,802.63,1456.1,470.64,1412.78,2041.92,2169.55,1326.81,1580.54,1514.3,435.4,1263.81,476.9,1136.74,1356.43,989.1,376.47,2401.31,,,,,,,,,,,,,,,338.61,343.23,310.93,335.65,333.8,345.42,236.36,269.22,340.5,399.89,,457.24,280.26,323.58,425.6,593.04,323.43,309.24,317.26,352.79,318.87,324.15,310.33,337.41,326.0,324.1,329.79,340.18,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-05,1098.22,1125.03,41.61,1570.47,1666.24,1430.58,1386.85,834.87,1229.64,2748.62,589.5,1617.79,1290.66,1467.83,920.41,373.6,806.84,1462.85,472.83,1419.01,2047.96,2175.84,1333.27,1599.58,1517.92,437.21,1264.48,480.69,1139.11,1350.6,988.55,378.29,2412.91,,,,,,,,,,,,,,,338.78,343.3,311.25,335.91,333.92,345.84,236.33,269.34,341.04,399.93,,457.29,280.27,323.57,425.63,593.15,323.92,309.68,317.73,353.06,319.28,324.41,310.57,337.83,326.29,324.0,329.98,340.63,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-08,1085.25,1111.7,41.46,1571.65,1653.57,1412.23,1391.98,834.04,1238.18,2779.75,590.24,1600.05,1284.35,1463.58,916.21,374.17,799.7,1452.95,473.35,1411.99,2040.59,2167.8,1325.64,1585.59,1510.06,439.12,1254.83,478.95,1126.68,1335.35,999.3,378.89,2408.81,,,,,,,,,,,,,,,338.4,342.77,311.12,335.53,333.29,345.73,236.05,268.86,340.44,399.41,,456.58,280.34,323.55,425.35,591.55,323.67,309.57,317.55,352.8,319.1,324.22,310.36,337.7,326.11,324.08,329.78,340.46,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-09,1084.54,1110.97,41.47,1574.13,1653.5,1400.75,1384.55,833.85,1242.58,2805.59,593.25,1600.02,1284.24,1463.6,915.92,374.98,804.33,1448.43,473.59,1408.9,2047.93,2175.72,1333.72,1587.12,1504.26,439.46,1254.91,480.48,1129.05,1326.55,989.34,379.66,2405.78,,,,,,,,,,,,,,,338.69,343.14,311.27,335.95,333.86,345.99,236.16,269.19,341.17,399.67,,456.93,280.34,323.55,425.52,592.32,323.94,309.75,317.77,352.75,319.3,324.34,310.6,337.84,326.19,324.01,329.73,340.33,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-10,1081.31,1107.64,41.76,1573.59,1649.1,1387.21,1391.74,834.83,1234.64,2782.87,594.43,1600.82,1280.51,1460.04,912.94,373.95,805.68,1441.66,474.04,1405.85,2052.68,2180.78,1337.45,1583.72,1496.41,437.29,1252.2,478.47,1125.43,1312.88,997.34,378.37,2399.3,,,,,,,,,,,,,,,339.05,343.57,311.49,336.36,334.37,346.29,236.12,269.48,341.76,400.09,,457.47,280.38,323.6,425.7,593.54,324.32,310.03,318.1,352.88,319.59,324.52,310.86,338.21,326.39,324.13,329.86,340.45,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-11,1081.14,1107.46,41.88,1569.95,1661.41,1367.82,1384.98,831.76,1241.04,2815.53,592.95,1601.55,1276.44,1458.71,907.59,374.7,808.24,1446.72,472.39,1397.33,2052.04,2180.13,1338.68,1596.5,1486.12,439.7,1248.68,477.85,1123.13,1296.2,993.73,379.13,2390.83,,,,,,,,,,,,,,,338.82,343.14,311.6,336.09,333.76,346.41,236.11,269.01,340.89,399.74,,457.01,280.36,323.55,425.58,592.48,324.45,309.9,318.11,352.99,319.6,324.53,310.77,338.23,326.43,324.18,329.96,340.58,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-12,1066.69,1092.6,42.06,1568.46,1675.62,1396.09,1385.52,835.23,1238.3,2808.12,594.75,1598.91,1269.08,1450.06,910.52,372.98,802.88,1464.84,475.43,1406.81,2043.99,2171.43,1331.35,1610.17,1495.27,433.68,1233.73,478.64,1124.02,1321.99,995.43,377.35,2395.74,,,,,,,,,,,,,,,339.18,343.59,311.78,336.39,334.18,346.58,236.11,269.1,341.25,400.29,,457.75,280.35,323.58,425.9,594.13,324.5,310.05,318.21,353.37,319.72,324.74,310.79,338.67,326.67,324.13,330.25,340.93,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-15,1068.09,1094.03,42.23,1572.68,1687.53,1409.0,1381.36,836.05,1246.37,2839.27,596.88,1596.32,1271.09,1454.0,910.88,375.02,807.39,1476.72,475.28,1410.18,2052.2,2180.24,1338.2,1621.69,1501.16,433.59,1235.37,482.35,1118.38,1333.73,991.48,379.29,2400.17,,,,,,,,,,,,,,,338.48,342.75,311.32,335.57,333.06,346.08,236.09,268.59,339.61,399.57,,456.81,280.29,323.54,425.51,592.02,323.92,309.81,317.8,352.53,319.21,323.93,310.62,337.63,326.06,324.08,329.58,339.95,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-16,1065.22,1091.09,41.96,1571.5,1684.58,1418.35,1368.5,833.72,1238.39,2814.18,589.27,1579.03,1266.46,1448.31,907.29,373.31,795.74,1478.56,473.8,1399.61,2041.42,2168.62,1326.31,1617.87,1494.66,430.91,1231.58,479.95,1106.08,1344.23,980.52,377.36,2392.36,,,,,,,,,,,,,,,338.35,342.7,311.08,335.22,332.74,345.68,236.07,268.49,339.24,399.76,,457.03,280.36,323.57,425.61,592.51,323.31,309.39,317.27,352.44,318.79,323.79,310.24,337.31,325.84,324.09,329.5,339.45,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-17,1064.17,1090.01,41.99,1574.16,1687.4,1429.22,1363.88,838.38,1236.28,2801.81,592.55,1595.27,1264.59,1445.45,908.66,371.9,795.89,1482.51,475.92,1401.38,2047.04,2174.67,1327.02,1620.54,1498.61,429.46,1229.13,478.55,1115.77,1353.47,971.66,375.82,2396.99,,,,,,,,,,,,,,,338.46,342.82,311.18,335.2,332.65,345.74,236.07,268.45,339.48,400.07,,457.46,280.32,323.58,425.78,593.48,323.41,309.36,317.31,352.72,318.84,323.9,310.4,337.21,325.95,324.11,329.74,339.93,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-18,1062.54,1088.33,42.25,1574.46,1673.78,1424.1,1372.42,837.31,1227.9,2766.48,597.61,1622.78,1260.95,1439.8,909.71,371.48,791.62,1473.71,475.23,1397.46,2052.04,2180.03,1323.15,1606.95,1498.62,427.28,1225.75,478.66,1130.5,1349.45,984.18,375.26,2389.9,,,,,,,,,,,,,,,338.16,342.47,310.98,334.7,332.05,345.34,236.03,268.23,338.84,399.87,,457.19,280.33,323.57,425.76,592.8,323.0,308.86,316.84,352.82,318.4,323.53,309.78,336.94,325.73,324.13,329.81,340.19,,,,,,,,,,,,,,,,,,,,,,,,,277.36
2017-01-19,1055.0,1080.57,42.41,1574.39,1634.21,1406.92,1353.46,830.84,1218.88,2726.66,590.55,1587.58,1248.09,1421.47,903.31,368.56,782.18,1444.78,470.58,1390.03,2042.98,2170.1,1313.59,1568.51,1481.32,419.52,1215.63,476.89,1109.28,1334.56,959.61,372.08,2349.78,,,,,,,,,,,,,,,337.55,341.7,310.64,333.9,330.95,344.86,235.93,267.9,337.99,399.28,,456.38,280.37,323.57,425.66,590.79,322.5,308.29,316.31,352.46,317.88,323.05,309.21,336.39,325.33,324.07,329.53,339.95,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-22,1050.18,1075.63,41.74,1573.93,1643.2,1403.58,1349.57,826.76,1228.54,2781.85,592.74,1601.37,1244.14,1420.92,896.15,363.98,767.79,1448.4,468.71,1381.92,2032.67,2159.12,1292.56,1577.59,1476.34,405.74,1209.95,473.08,1107.9,1330.76,957.05,367.07,2362.91,,,,,,,,,,,,,,,337.4,341.39,310.74,333.68,330.46,344.93,235.82,267.88,337.9,399.08,,456.12,280.39,323.57,425.5,590.24,322.74,308.33,316.45,352.67,317.99,323.03,309.22,336.33,325.42,324.12,329.71,340.17,,,,,,,,,,,,,,,,,,,,,,,,,277.32
2017-01-23,1038.05,1063.2,40.27,1573.76,1629.94,1398.5,1333.93,822.33,1219.54,2774.7,587.09,1597.87,1232.24,1406.67,891.62,361.18,751.4,1433.9,467.27,1367.22,2009.23,2133.9,1269.32,1566.28,1467.26,403.63,1196.39,468.72,1107.16,1326.36,941.38,364.36,2343.38,,,,,,,,,,,,,,,337.61,341.65,310.86,333.97,330.88,345.09,235.84,268.11,338.57,399.23,,456.33,280.36,323.59,425.67,590.63,323.09,308.47,316.7,352.76,318.17,323.02,309.47,336.32,325.5,324.12,329.77,340.03,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-24,1039.89,1065.06,41.43,1577.75,1655.64,1410.32,1338.39,831.05,1231.44,2831.65,596.71,1605.49,1239.15,1413.72,902.12,364.16,761.32,1455.7,473.34,1387.64,2024.31,2149.84,1282.58,1590.41,1479.7,404.42,1198.82,473.15,1110.77,1339.18,939.97,367.53,2357.33,,,,,,,,,,,,,,,337.69,341.62,311.09,334.21,331.09,345.37,235.77,268.18,338.64,398.99,,455.99,280.4,323.6,425.63,589.79,323.35,308.69,316.95,353.08,318.45,323.4,309.8,336.78,325.79,324.13,330.02,340.57,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-25,1050.01,1075.45,41.92,1573.84,1664.8,1430.22,1352.5,834.86,1249.89,2887.42,604.09,1604.96,1248.08,1421.19,913.28,367.32,771.7,1468.96,474.58,1404.58,2037.24,2163.91,1294.4,1596.7,1495.05,403.49,1209.3,480.59,1109.77,1356.73,953.38,371.02,2372.9,,,,,,,,,,,,,,,337.48,341.28,311.1,333.96,330.63,345.34,235.85,268.05,337.99,398.71,,455.62,280.39,323.59,425.51,588.91,323.25,308.66,316.87,353.07,318.39,323.39,309.63,336.8,325.78,324.18,330.03,340.73,,,,,,,,,,,,,,,,,,,,,,,,,277.34
2017-01-26,1054.33,1079.89,42.0,1574.83,1668.75,1436.38,1356.79,833.92,1242.83,2839.49,601.02,1589.35,1250.29,1423.69,913.22,367.98,773.4,1470.37,473.68,1407.46,2040.92,2167.88,1297.4,1600.68,1494.28,404.51,1212.37,479.79,1099.12,1358.55,956.93,371.54,2371.8,,,,,,,,,,,,,,,337.34,341.03,311.12,333.81,330.25,345.46,235.93,268.05,337.61,398.54,,455.39,280.39,323.61,425.44,588.37,323.35,308.88,317.03,352.86,318.53,323.44,309.83,336.87,325.77,324.1,329.84,340.38,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-29,1059.14,1084.81,42.36,1578.63,1660.07,1483.24,1355.55,832.91,1235.31,2795.02,599.98,1579.11,1252.57,1425.57,912.83,368.29,774.47,1477.64,472.31,1405.22,2049.72,2177.24,1303.71,1592.24,1498.86,403.35,1216.92,479.11,1088.47,1404.88,954.39,371.63,2387.39,,,,,,,,,,,,,,,337.76,341.6,311.29,334.36,331.14,345.64,236.06,268.39,338.46,398.92,,455.92,280.34,323.58,425.56,589.66,323.45,309.1,317.2,353.12,318.71,323.67,309.91,337.07,325.97,324.2,330.06,340.71,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-30,1052.56,1078.07,41.76,1578.31,1634.76,1480.22,1347.64,831.74,1227.46,2766.75,595.77,1563.33,1240.74,1407.24,911.84,365.8,779.18,1460.56,469.4,1401.78,2050.03,2177.74,1305.86,1565.86,1494.3,404.64,1206.42,476.75,1082.87,1400.97,945.55,369.42,2355.14,,,,,,,,,,,,,,,337.99,341.83,311.5,334.64,331.38,345.96,236.02,268.74,339.28,399.18,,456.25,280.39,323.6,425.61,590.46,323.99,309.39,317.62,353.31,319.05,323.81,310.45,337.16,326.17,324.24,330.21,341.03,,,,,,,,,,,,,,,,,,,,,,,,,277.33
2017-01-31,1049.55,1074.96,41.95,1581.62,1634.58,1506.53,1351.4,835.7,1236.12,2791.21,598.43,1566.71,1242.96,1408.29,918.78,368.34,783.77,1466.83,471.23,1411.3,2051.33,2178.87,1307.41,1565.52,1504.41,405.17,1208.3,480.14,1087.04,1427.12,948.37,372.45,2361.34,,,,,,,,,,,,,,,338.2,342.06,311.68,334.87,331.62,346.19,236.04,268.63,339.48,399.42,,456.57,280.36,323.62,425.94,591.07,324.39,309.53,317.89,353.56,319.31,324.03,310.5,337.46,326.37,324.34,330.41,340.86,,,,,,,,,,,,,,,,,,,,,,,,,277.35
2017-02-01,1063.38,1089.16,42.75,1581.61,1635.09,1516.27,1348.68,840.1,1236.71,2771.69,603.37,1587.77,1254.11,1419.36,925.52,373.16,793.66,1471.37,474.65,1414.96,2069.87,2198.87,1321.53,1565.89,1515.23,412.77,1222.6,486.2,1098.96,1434.01,941.22,377.28,2371.71,,,,,,,,,,,,,,,338.19,341.8,312.04,334.98,331.44,346.62,236.03,268.56,339.27,399.06,,456.08,280.42,323.62,425.7,589.82,324.89,309.87,318.32,353.91,319.7,324.3,310.68,338.02,326.73,324.35,330.71,341.51,,,,,,,,,,,,,,,,,,,,,,,,,277.36
2017-02-02,1061.92,1087.65,42.9,1581.98,1629.69,1499.25,1336.77,836.4,1230.48,2750.52,599.43,1583.38,1248.69,1414.4,915.5,368.45,791.22,1464.71,471.72,1402.29,2071.49,2200.59,1320.71,1559.55,1504.8,403.45,1219.96,481.95,1092.92,1417.9,924.31,372.01,2380.04,,,,,,,,,,,,,,,338.61,342.22,312.43,335.49,332.01,347.07,236.13,268.84,340.0,399.41,,456.54,280.46,323.62,425.89,591.02,325.51,310.24,318.82,354.45,320.16,324.64,311.04,338.41,327.14,324.56,331.17,342.15,,,,,,,,,,,,,,,,,,,,,,,,,277.34
2017-02-05,1061.99,1087.7,43.46,1585.25,1631.68,1488.94,1338.99,838.17,1232.04,2741.39,593.65,1580.52,1247.5,1412.86,916.16,371.03,798.57,1462.49,472.86,1400.93,2087.48,2217.72,1334.68,1561.63,1506.74,407.13,1219.9,485.45,1092.74,1409.0,922.81,374.57,2382.38,,,,,,,,,,,,,,,338.47,342.0,312.41,335.3,331.71,347.0,236.12,268.66,339.48,399.23,,456.31,280.42,323.62,425.79,590.42,325.23,310.06,318.59,354.5,320.0,324.69,310.79,338.52,327.12,324.57,331.22,342.47,,,,,,,,,,,,,,,,,,,,,,,,,277.34
2017-02-06,1064.2,1089.97,43.68,1586.83,1624.08,1481.77,1341.82,838.22,1246.13,2792.6,595.67,1588.11,1248.85,1413.83,917.3,370.71,799.74,1457.04,473.73,1404.25,2092.23,2222.77,1338.48,1554.16,1510.83,405.76,1222.08,485.9,1098.02,1402.12,922.86,374.11,2385.26,,,,,,,,,,,,,,,338.62,342.22,312.45,335.5,332.03,347.07,236.11,268.82,339.76,399.39,,456.53,280.43,323.62,425.9,590.96,325.23,310.01,318.56,354.47,320.04,324.97,310.69,338.9,327.19,324.56,331.21,342.5,,,,,,,,,,,,,,,,,,,,,,,,,277.38
2017-02-07,1063.31,1089.05,43.63,1588.73,1638.72,1514.23,1349.09,844.15,1243.97,2781.46,595.15,1599.49,1252.77,1417.76,922.82,371.25,798.31,1473.56,478.38,1406.79,2096.75,2227.69,1336.89,1568.18,1522.67,402.37,1224.22,488.07,1103.59,1433.36,930.13,374.88,2389.26,,,,,,,,,,,,,,,338.76,342.32,312.65,335.55,332.0,347.21,236.04,268.65,339.53,399.62,,456.83,280.44,323.66,426.12,591.59,325.29,310.08,318.63,354.81,320.13,325.15,310.69,339.23,327.39,324.6,331.48,343.08,,,,,,,,,,,,,,,,,,,,,,,,,277.34
2017-02-08,1055.04,1080.55,43.69,1590.35,1643.01,1513.48,1352.35,844.16,1238.03,2759.3,591.39,1599.99,1244.87,1408.42,920.17,367.55,799.44,1477.73,478.67,1401.92,2098.52,2229.55,1339.17,1572.53,1521.11,399.46,1215.82,484.34,1103.5,1435.98,933.93,370.89,2374.51,,,,,,,,,,,,,,,338.98,342.58,312.78,335.52,331.92,347.23,235.98,268.54,339.45,400.22,,457.62,280.47,323.66,426.44,593.69,325.2,310.08,318.59,355.22,320.1,325.12,310.71,339.21,327.53,324.73,331.83,343.56,,,,,,,,,,,,,,,,,,,,,,,,,277.35
2017-02-09,1061.92,1087.62,43.56,1591.07,1652.32,1525.39,1361.25,848.47,1244.6,2784.18,594.0,1597.58,1253.69,1418.08,926.32,370.96,790.73,1485.84,482.62,1409.49,2114.83,2247.4,1346.44,1584.78,1521.28,402.93,1224.31,488.92,1094.98,1452.48,944.47,373.6,2390.32,,,,,,,,,,,,,,,338.99,342.63,312.76,335.43,331.88,347.09,236.03,268.38,339.24,400.34,,457.78,280.48,323.69,426.36,594.26,325.07,310.12,318.54,355.42,319.94,324.66,310.74,338.97,327.48,324.65,332.0,344.06,,,,,,,,,,,,,,,,,,,,,,,,,277.36
2017-02-12,1064.26,1090.02,44.12,1587.3,1665.96,1530.47,1366.1,855.61,1255.84,2821.9,597.2,1574.61,1265.72,1433.37,931.56,368.99,776.66,1495.92,484.57,1425.89,2079.31,2208.23,1323.32,1598.5,1529.82,399.38,1221.76,490.7,1082.3,1459.72,950.32,375.34,2413.26,,,,,,,,,,,,,,,338.71,342.19,312.72,335.16,331.51,346.94,236.01,268.26,338.69,399.78,,457.05,280.43,323.65,425.98,592.48,324.82,309.82,318.26,355.5,319.74,324.67,310.28,338.95,327.45,324.67,332.07,344.36,,,,,,,,,,,,,,,,,,,,,,,,,277.38
2017-02-13,1076.61,1102.71,44.47,1586.56,1674.89,1558.01,1376.13,858.26,1262.74,2843.5,601.64,1566.41,1274.55,1440.57,944.89,373.35,783.14,1511.13,487.96,1432.67,2087.29,2216.89,1328.78,1606.5,1543.06,407.11,1233.21,494.98,1078.22,1482.92,958.0,379.15,2425.12,,,,,,,,,,,,,,,338.66,342.11,312.73,334.96,331.15,346.9,235.99,268.19,338.4,399.92,,457.23,280.47,323.71,426.13,592.79,324.84,309.67,318.19,355.55,319.7,324.69,310.16,338.99,327.45,324.82,332.14,344.52,,,,,,,,,,,,,,,,,,,,,,,,,277.37
2017-02-14,1079.8,1105.97,45.2,1585.5,1672.56,1591.68,1372.01,856.93,1257.82,2823.77,607.25,1590.35,1275.9,1440.26,949.5,373.34,782.27,1522.34,487.46,1437.07,2080.85,2209.48,1322.75,1602.85,1552.19,408.5,1234.5,492.86,1099.43,1508.48,949.76,377.27,2425.44,,,,,,,,,,,,,,,338.49,341.72,312.88,334.83,330.8,347.0,236.0,267.87,337.89,399.46,,456.6,280.47,323.72,425.92,591.08,324.71,309.63,318.11,355.76,319.63,324.66,310.1,339.23,327.55,324.9,332.33,345.19,,,,,,,,,,,,,,,,,,,,,,,,,277.36
2017-02-15,1093.05,1119.59,45.5,1586.31,1668.91,1606.63,1363.35,846.19,1250.17,2778.91,604.72,1604.81,1282.57,1448.51,946.62,371.79,778.47,1524.76,480.81,1432.44,2069.71,2197.06,1297.23,1598.81,1546.97,408.76,1228.01,490.07,1107.92,1518.05,942.83,377.61,2439.37,,,,,,,,,,,,,,,338.44,341.56,313.0,334.88,330.76,347.16,236.06,268.16,337.99,399.18,,456.25,280.38,323.73,425.85,590.05,324.76,309.74,318.19,355.75,319.74,324.88,310.22,339.3,327.66,325.01,332.34,345.4,,,,,,,,,,,,,,,,,,,,,,,,,277.4
2017-02-16,1093.81,1120.36,45.24,1591.25,1683.14,1600.37,1371.4,848.83,1240.06,2756.89,605.64,1605.42,1287.42,1452.67,954.09,371.48,761.84,1532.16,480.64,1439.79,2044.85,2169.68,1283.88,1612.73,1556.33,404.2,1224.71,493.47,1109.12,1518.28,952.55,378.17,2468.45,,,,,,,,,,,,,,,339.17,342.55,313.31,335.72,332.12,347.45,236.19,268.46,339.17,399.98,,457.29,280.52,323.8,426.25,592.74,325.34,309.96,318.59,356.41,320.11,325.15,310.52,339.64,328.04,325.18,332.89,346.6,,,,,,,,,,,,,,,,,,,,,,,,,277.38
2017-02-19,1103.06,1129.82,47.24,1591.65,1675.23,1599.51,1382.97,851.33,1240.52,2743.18,610.69,1607.54,1295.21,1460.47,959.87,372.38,766.85,1530.62,483.99,1447.85,2045.04,2168.87,1278.01,1604.36,1566.27,404.55,1230.68,495.81,1110.08,1520.0,958.71,380.62,2494.53,,,,,,,,,,,,,,,339.49,342.94,313.49,336.13,332.67,347.71,236.23,268.85,340.1,400.28,,457.71,280.5,323.76,426.45,593.77,325.62,310.05,318.78,356.51,320.29,325.28,310.63,339.84,328.17,325.11,332.99,346.63,,,,,,,,,,,,,,,,,,,,,,,,,277.36
2017-02-20,1104.42,1131.2,48.17,1588.37,1668.75,1598.33,1385.73,855.22,1237.3,2693.29,612.33,1613.46,1294.94,1458.6,963.6,372.93,769.14,1527.46,486.2,1450.52,2051.65,2175.8,1285.22,1597.77,1570.09,405.73,1235.33,496.71,1117.71,1517.63,966.47,381.36,2485.28,,,,,,,,,,,,,,,339.24,342.74,313.2,335.82,332.31,347.44,236.25,268.71,339.93,400.2,,457.6,280.48,323.74,426.26,593.69,325.3,309.84,318.52,355.99,320.05,325.1,310.44,339.43,327.85,325.02,332.57,345.81,,,,,,,,,,,,,,,,,,,,,,,,,277.36
2017-02-21,1102.05,1128.77,47.92,1587.11,1660.71,1617.96,1383.04,859.31,1234.64,2659.56,613.59,1616.62,1293.32,1454.32,969.66,372.54,767.51,1527.72,489.29,1449.47,2044.63,2168.26,1280.98,1590.25,1574.67,404.75,1237.85,495.8,1118.71,1531.6,960.22,380.89,2482.28,,,,,,,,,,,,,,,338.91,342.34,312.99,335.34,331.55,347.26,236.16,268.6,339.16,400.07,,457.41,280.51,323.75,426.21,593.19,325.25,309.76,318.44,355.68,319.91,324.77,310.51,338.94,327.57,324.86,332.29,345.27,,,,,,,,,,,,,,,,,,,,,,,,,277.38
2017-02-22,1096.04,1122.58,48.73,1585.51,1655.24,1612.97,1383.08,863.11,1230.53,2618.75,610.61,1596.84,1289.25,1447.8,971.71,371.55,766.07,1523.41,489.77,1446.62,2038.18,2160.82,1272.89,1584.85,1574.06,401.67,1236.05,496.5,1108.27,1528.75,957.75,381.32,2467.71,,,,,,,,,,,,,,,338.91,342.24,313.13,335.14,331.02,347.43,236.17,268.36,338.56,400.35,,457.78,280.53,323.74,426.31,594.18,325.43,310.1,318.7,355.87,320.13,324.89,310.69,339.0,327.77,324.97,332.47,345.31,,,,,,,,,,,,,,,,,,,,,,,,,277.37
2017-02-23,1092.69,1119.1,50.0,1584.97,1654.27,1620.06,1382.15,868.33,1231.38,2625.66,616.2,1604.16,1286.42,1444.0,971.92,369.47,764.63,1523.53,491.33,1442.28,2035.67,2157.45,1263.34,1583.3,1578.12,397.39,1235.09,494.92,1113.16,1530.56,957.94,380.25,2467.6,,,,,,,,,,,,,,,338.82,342.19,312.98,335.05,330.95,347.32,236.23,268.57,338.98,400.3,,457.71,280.55,323.72,426.28,594.01,325.18,309.93,318.49,355.41,319.98,324.89,310.59,338.9,327.55,324.92,332.08,344.79,,,,,,,,,,,,,,,,,,,,,,,,,277.37
2017-02-26,1090.94,1117.27,51.2,1586.11,1645.28,1601.45,1383.18,866.69,1228.64,2603.61,617.66,1613.23,1285.78,1443.58,969.78,369.45,765.9,1516.39,490.0,1440.44,2037.91,2159.28,1260.76,1574.19,1577.27,399.59,1234.66,494.36,1119.61,1519.39,957.81,380.19,2470.54,,,,,,,,,,,,,,,339.13,342.54,313.24,335.31,331.25,347.54,236.28,268.74,339.32,400.74,,458.31,280.54,323.76,426.58,595.39,325.54,309.98,318.7,355.92,320.18,325.09,310.66,339.23,327.84,325.15,332.52,345.22,,,,,,,,,,,,,,,,,,,,,,,,,277.38
2017-02-27,1084.68,1110.84,50.55,1587.56,1647.47,1594.66,1373.32,867.94,1222.9,2574.29,616.07,1597.43,1277.97,1435.13,964.92,365.54,760.02,1511.58,488.4,1430.22,2026.21,2146.68,1255.93,1577.71,1569.72,395.23,1227.8,488.53,1109.44,1510.66,947.65,375.57,2473.4,,,,,,,,,,,,,,,338.72,341.82,313.27,334.69,329.98,347.62,236.18,268.3,338.21,400.42,,457.88,280.56,323.7,426.5,594.26,325.71,310.0,318.79,355.94,320.24,325.03,310.72,339.19,327.84,325.25,332.56,345.23,,,,,,,,,,,,,,,,,,,,,,,,,277.39
2017-02-28,1076.28,1102.2,51.01,1589.84,1657.53,1609.07,1373.16,873.44,1223.34,2568.89,620.27,1595.69,1265.61,1423.03,961.53,362.14,760.05,1521.81,491.77,1426.82,2028.51,2148.9,1262.38,1587.76,1569.75,391.91,1227.6,482.73,1112.27,1520.82,941.33,371.5,2469.03,,,,,,,,,,,,,,,338.58,341.64,313.2,334.54,329.8,347.5,236.18,268.21,337.87,400.23,,457.6,280.62,323.76,426.4,593.46,325.56,309.86,318.64,356.0,320.11,324.97,310.6,339.09,327.8,325.25,332.61,345.33,,,,,,,,,,,,,,,,,,,,,,,,,277.38
