,LQD,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,VGLT,USFR,TLH,EDV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,95.94296264648438,77.04080200195312,101.3211441040039,101.64227294921875,21.975122451782227,91.85533142089844,84.44268798828125,109.96764373779297,54.523067474365234,45.3381462097168,55.64150619506836,46.6319465637207,27.18669891357422,26.811277389526367,29.134380340576172,61.81322479248047,46.19450759887695,111.5023193359375,86.40035247802734,46.23097229003906,92.4548110961914,28.02716827392578
2018-11-12,95.93441009521484,77.0965805053711,101.35787200927734,102.30579376220703,22.03890609741211,92.13042449951172,84.4334487915039,110.19035339355469,54.56884002685547,45.365623474121094,55.78567886352539,46.73158264160156,27.214479446411133,26.88083267211914,29.357250213623047,62.202693939208984,46.19450759887695,112.00519561767578,87.32596588134766,46.24017333984375,93.599365234375,28.118934631347656
2018-11-13,95.80612182617188,77.10588836669922,101.34866333007812,102.2430648803711,22.048011779785156,92.20381164550781,84.44268798828125,110.24607849121094,54.587135314941406,45.38397216796875,55.78567886352539,46.767818450927734,27.22374153137207,26.89010238647461,29.312685012817383,62.13187789916992,46.21290588378906,112.03165435791016,87.00910186767578,46.249366760253906,93.1667709350586,28.128114700317383
2018-11-14,95.5495376586914,77.16165924072266,101.35787200927734,102.30579376220703,22.075340270996094,92.39637756347656,84.4334487915039,110.44091796875,54.623722076416016,45.41145324707031,55.88478469848633,46.84935760498047,27.22374153137207,26.92255401611328,29.348325729370117,62.229248046875,46.176116943359375,112.23462677001953,87.16754913330078,46.249366760253906,93.15776824951172,28.173994064331055
2018-11-15,95.36996459960938,77.19882202148438,101.3670425415039,102.260986328125,22.084447860717773,92.46054077148438,84.46112823486328,110.5244140625,54.63289260864258,45.42061233520508,55.920841217041016,46.87652587890625,27.242258071899414,26.94110107421875,29.348325729370117,62.202693939208984,46.19450759887695,112.2610855102539,87.06746673583984,46.25856399536133,93.18480682373047,28.178590774536133
2018-11-16,95.55811309814453,77.25457763671875,101.3762435913086,102.852783203125,22.130002975463867,92.74482727050781,84.47039031982422,110.74716186523438,54.69694519042969,45.46643829345703,56.0469970703125,46.976173400878906,27.26078224182129,27.010643005371094,29.4820613861084,62.53023910522461,46.21290588378906,112.72866821289062,87.634521484375,46.25856399536133,94.07698822021484,28.279542922973633
2018-11-19,95.46405029296875,77.31965637207031,101.39458465576172,103.1397476196289,22.157339096069336,92.88238525390625,84.46112823486328,110.86780548095703,54.71525573730469,45.49394989013672,56.10105514526367,47.06674575805664,27.279294967651367,27.0523624420166,29.58013916015625,62.70728302001953,46.23130416870117,112.92276763916016,87.96807098388672,46.25856399536133,94.41944885253906,28.338382720947266
2018-11-20,95.23308563232422,77.30105590820312,101.40380096435547,103.17561340332031,22.157339096069336,92.8640365600586,84.47960662841797,110.8214111328125,54.71525573730469,45.49394989013672,56.083030700683594,47.04863357543945,27.279294967651367,27.02454948425293,29.597972869873047,62.73383331298828,46.23682403564453,112.9757080078125,88.00977325439453,46.26774978637695,94.24822998046875,28.356685638427734
2018-11-21,95.43834686279297,77.30105590820312,101.40380096435547,103.1397476196289,22.157339096069336,92.845703125,84.49807739257812,110.7750015258789,54.71525573730469,45.49394989013672,56.065025329589844,47.039573669433594,27.279294967651367,27.015275955200195,29.571208953857422,62.73383331298828,46.25524139404297,112.94926452636719,88.00141906738281,46.286136627197266,94.15809631347656,28.31898307800293
2018-11-23,95.48114776611328,77.2824935913086,101.43135833740234,103.24736022949219,22.148229598999023,92.90069580078125,84.49807739257812,110.83067321777344,54.71525573730469,45.49394989013672,56.092044830322266,47.0758171081543,27.279294967651367,27.047733306884766,29.597972869873047,62.75149154663086,46.25524139404297,113.04631042480469,88.22657775878906,46.286136627197266,94.66277313232422,28.407352447509766
2018-11-26,95.52391052246094,77.2917709350586,101.43135833740234,103.01419830322266,22.148229598999023,92.82735443115234,84.5073013305664,110.76571655273438,54.70610046386719,45.47561264038086,56.083030700683594,47.02146530151367,27.279294967651367,27.02454948425293,29.544464111328125,62.66303634643555,46.23682403564453,112.92276763916016,87.85131072998047,46.286136627197266,94.08599090576172,28.30160903930664
2018-11-27,95.4041519165039,77.30105590820312,101.44053649902344,103.13078308105469,22.157339096069336,92.91905212402344,84.5073013305664,110.80286407470703,54.70610046386719,45.484764099121094,56.10105514526367,47.04863357543945,27.279294967651367,27.02454948425293,29.589046478271484,62.72494888305664,46.25524139404297,113.0374984741211,87.98475646972656,46.286136627197266,94.15809631347656,28.31999397277832
2018-11-28,95.66075134277344,77.32891845703125,101.44971466064453,102.6286392211914,22.139118194580078,92.9098892211914,84.51651763916016,110.85855865478516,54.72440719604492,45.50309753417969,56.13710403442383,47.06674575805664,27.28855323791504,27.056995391845703,29.44640350341797,62.41515350341797,46.25524139404297,112.89630126953125,87.30929565429688,46.286136627197266,93.5002212524414,28.338382720947266
2018-11-29,95.38704681396484,77.3475570678711,101.45890045166016,103.03215026855469,22.184667587280273,93.1482925415039,84.52574920654297,110.9977035522461,54.74270248413086,45.51227569580078,56.21821212768555,47.14827346801758,27.297813415527344,27.09408950805664,29.544464111328125,62.68954086303711,46.23682403564453,113.26689147949219,87.74293518066406,46.295326232910156,93.75254821777344,28.393556594848633
2018-11-30,95.32719421386719,77.37541198730469,101.46807098388672,103.4177474975586,22.202898025512695,93.33169555664062,84.53498840332031,111.08123016357422,54.76100540161133,45.521419525146484,56.254234313964844,47.17544937133789,27.297813415527344,27.103364944458008,29.65145492553711,62.910865783691406,46.273685455322266,113.60213470458984,88.20156860351562,46.295326232910156,94.43748474121094,28.393556594848633
2018-12-03,95.68151092529297,77.3121566772461,101.47727966308594,104.15204620361328,22.22480010986328,93.53570556640625,84.5322036743164,111.14816284179688,54.7463493347168,45.497562408447266,56.30659866333008,47.219024658203125,27.278331756591797,27.122879028320312,29.856998443603516,63.346458435058594,46.273685455322266,113.99115753173828,88.98544311523438,46.299007415771484,95.2485580444336,28.586650848388672
2018-12-04,95.69869995117188,77.36798858642578,101.47727966308594,105.89568328857422,22.325197219848633,93.96757507324219,84.54146575927734,111.3433837890625,54.764678955078125,45.534297943115234,56.46007537841797,47.318878173828125,27.30616569519043,27.20648193359375,30.339561462402344,64.34017181396484,46.23682403564453,115.0431900024414,91.32036590576172,46.299007415771484,98.09638214111328,28.825706481933594
2018-12-06,95.99038696289062,77.44245910644531,101.5048828125,106.2282485961914,22.370840072631836,94.20648193359375,84.55994415283203,111.53861999511719,54.82884216308594,45.58018493652344,56.55939865112305,47.41871643066406,27.334001541137695,27.2575740814209,30.455730438232422,64.57970428466797,46.273685455322266,115.4498291015625,91.69561004638672,46.31742477416992,98.24056243896484,28.917661666870117
2018-12-07,95.99897766113281,77.5262451171875,101.51410675048828,106.42596435546875,22.398216247558594,94.48219299316406,84.5692138671875,111.82683563232422,54.856346130371094,45.61690902709961,56.68577575683594,47.52764129638672,27.35256004333496,27.317970275878906,30.50042152404785,64.65955352783203,46.25524139404297,115.72392272949219,91.86239624023438,46.31742477416992,98.3396987915039,28.945241928100586
2018-12-10,96.29068756103516,77.5262451171875,101.5232925415039,106.86640930175781,22.425596237182617,94.53732299804688,84.57841491699219,111.84541320800781,54.87467956542969,45.607723236083984,56.72187423706055,47.57301330566406,27.35256004333496,27.327260971069336,30.64341163635254,64.95231628417969,46.273685455322266,115.93607330322266,92.48782348632812,46.32664108276367,99.17781829833984,29.009511947631836
2018-12-11,96.46227264404297,77.4517593383789,101.51410675048828,106.848388671875,22.398216247558594,94.29841613769531,84.5692138671875,111.66876983642578,54.84718322753906,45.58018493652344,56.60451889038086,47.491329193115234,27.334001541137695,27.27151870727539,30.607669830322266,64.94347381591797,46.2921142578125,115.72392272949219,92.58787536621094,46.32664108276367,99.33102416992188,28.972829818725586
2018-12-12,96.56526947021484,77.44245910644531,101.53250122070312,106.3720703125,22.361703872680664,94.0411148071289,84.58763885498047,111.51072692871094,54.82884216308594,45.58937454223633,56.51423263549805,47.409629821777344,27.334001541137695,27.23900032043457,30.482555389404297,64.65066528320312,46.273685455322266,115.27301788330078,92.03751373291016,46.32664108276367,98.76325988769531,28.87168312072754
2018-12-13,96.82259368896484,77.51695251464844,101.55089569091797,106.12039947509766,22.370840072631836,94.09627532958984,84.59691619873047,111.58509826660156,54.856346130371094,45.607723236083984,56.53229904174805,47.436851501464844,27.35256004333496,27.252941131591797,30.428936004638672,64.51758575439453,46.2921142578125,115.16693878173828,91.71401977539062,46.34506607055664,98.26761627197266,28.87168312072754
2018-12-14,96.71968078613281,77.5634765625,101.56009674072266,106.4888916015625,22.398216247558594,94.24325561523438,84.60616302490234,111.72454833984375,54.902183532714844,45.635284423828125,56.649662017822266,47.500404357910156,27.35256004333496,27.294742584228516,30.518306732177734,64.72164154052734,46.273685455322266,115.39681243896484,92.11731719970703,46.33584976196289,98.88944244384766,28.936044692993164
2018-12-17,96.82259368896484,77.63796997070312,101.5785140991211,107.10906219482422,22.443845748901367,94.51892852783203,84.61539459228516,111.9383773803711,54.9388542175293,45.68116760253906,56.766998291015625,47.591182708740234,27.398956298828125,27.36441421508789,30.68808364868164,65.09426879882812,46.273685455322266,115.84767150878906,92.8987045288086,46.33584976196289,99.78163146972656,28.972917556762695
2018-12-18,97.16861724853516,77.68367004394531,101.58863067626953,107.75053405761719,22.49869728088379,94.75189971923828,84.61539459228516,112.11158752441406,54.984683990478516,45.69953155517578,56.83924865722656,47.681941986083984,27.417503356933594,27.401580810546875,30.86682891845703,65.46691131591797,46.2921142578125,116.20547485351562,93.72206115722656,46.3321647644043,100.5746841430664,29.119935989379883
2018-12-19,97.09117126464844,77.70230865478516,101.59784698486328,109.1739730834961,22.571840286254883,95.0833969116211,84.60613250732422,112.23267364501953,54.984683990478516,45.717002868652344,56.95661163330078,47.76469802856445,27.41006851196289,27.437423706054688,31.27352523803711,66.2919921875,46.25524139404297,117.135498046875,95.55366516113281,46.3321647644043,102.854736328125,29.326826095581055
