,NVDA,MRNA,BYND,TSLA,TEVA,SNOW,ABNB,BABA,1090943,1106376,168013
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice
2017-03-16,25.61624526977539,,,17.469999313354492,33.134925842285156,,,105.62999725341797,1365.0,51.1,33700.0
2017-03-17,26.173927307128906,,,17.433332443237305,32.85171890258789,,,105.61000061035156,,,
2017-03-19,,,,,,,,,1365.0,53.1,33290.0
2017-03-20,27.007978439331055,,,17.461332321166992,32.80289077758789,,,107.25,1375.0,53.4,33510.0
2017-03-21,26.134441375732422,,,16.711999893188477,31.76772689819336,,,105.08999633789062,1393.0,51.1,34750.0
2017-03-22,26.667444229125977,,,17.000667572021484,31.845853805541992,,,106.08999633789062,1375.0,50.4,34160.0
2017-03-23,26.425621032714844,,,16.985332489013672,31.963043212890625,,,108.25,1381.0,52.3,34380.0
2017-03-24,26.519392013549805,,,17.54400062561035,31.99233627319336,,,108.04000091552734,,,
2017-03-26,,,,,,,,,1443.0,52.2,34330.0
2017-03-27,26.711862564086914,,,18.014667510986328,32.256011962890625,,,108.08000183105469,1433.0,52.2,33290.0
2017-03-28,26.573678970336914,,,18.496667861938477,32.187652587890625,,,107.80000305175781,1438.0,51.4,34310.0
2017-03-29,26.48731231689453,,,18.492000579833984,32.27553939819336,,,109.51000213623047,1443.0,52.3,34200.0
2017-03-30,26.995641708374023,,,18.527999877929688,31.943506240844727,,,108.8499984741211,1528.0,53.4,34020.0
2017-03-31,26.879663467407227,,,18.553333282470703,31.338037490844727,,,107.83000183105469,,,
2017-04-02,,,,,,,,,1552.0,54.1,34310.0
2017-04-03,26.743942260742188,,,19.90133285522461,31.435693740844727,,,108.08999633789062,1495.0,52.9,35580.0
2017-04-04,24.868558883666992,,,20.246667861938477,31.250146865844727,,,107.5199966430664,1503.0,52.9,37730.0
2017-04-05,24.683494567871094,,,19.666667938232422,31.181787490844727,,,107.44000244140625,1497.0,53.6,38370.0
2017-04-06,24.86362648010254,,,19.913333892822266,31.59194564819336,,,108.04000091552734,1543.0,50.4,37540.0
2017-04-07,24.75752067565918,,,20.16933250427246,31.552885055541992,,,108.98999786376953,,,
2017-04-09,,,,,,,,,1535.0,52.0,37500.0
2017-04-10,24.125808715820312,,,20.826000213623047,31.74819564819336,,,111.69999694824219,,,
2017-04-11,24.212182998657227,,,20.58066749572754,31.38686752319336,,,110.44000244140625,,,
