,169,170,603,601,701,714,XLK,XLV,XOP,QQQ,SHV,BIL,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2021-07-15,1201.57,648.87,367.47,387.56,283.75,366.56,149.13388061523438,124.38323211669922,81.61046600341797,355.99005126953125,106.19759368896484,87.85700988769531,83320.0,9664.0,10020.0,8.90999984741211,90.53150939941406,19.55225372314453,226.63868713378906,12.469178199768066,15.975728988647461
2021-07-16,,,,,,,147.66021728515625,124.72261810302734,78.37346649169922,353.106689453125,106.19759368896484,87.85700988769531,,,,8.859999656677246,90.11068725585938,19.70451545715332,224.60076904296875,12.442437171936035,15.916215896606445
2021-07-19,1163.27,612.12,365.82,386.49,283.77,364.8,145.62657165527344,123.41353607177734,75.174560546875,350.21356201171875,106.19759368896484,87.84741973876953,85830.0,9470.0,9850.0,8.8100004196167,89.88626861572266,20.241912841796875,219.34811401367188,12.344396591186523,15.584630012512207
2021-07-20,1183.54,617.84,365.6,386.16,283.76,364.68,147.7879180908203,124.91657257080078,76.98346710205078,354.28173828125,106.20718383789062,87.84741973876953,88950.0,9496.0,9994.0,9.210000038146973,90.38188934326172,20.438955307006836,224.14151000976562,12.442437171936035,15.907710075378418
2021-07-21,1213.26,634.62,365.93,386.12,283.76,365.61,149.21246337890625,125.12017822265625,80.68698120117188,357.0169372558594,106.19759368896484,87.84741973876953,89200.0,9690.0,10180.0,9.149999618530273,90.99907684326172,20.188173294067383,225.72972106933594,12.397871017456055,16.001237869262695
2021-07-22,1217.12,639.21,366.52,386.79,283.8,366.46,150.3127899169922,126.0414047241211,79.04943084716797,359.3769226074219,106.19759368896484,87.85700988769531,90750.0,9641.0,10140.0,8.84000015258789,89.5776596069336,20.143386840820312,228.3512725830078,12.299832344055176,15.915802955627441
2021-07-23,,,,,,,151.80609130859375,127.4959716796875,78.24018096923828,363.573486328125,106.20718383789062,87.84741973876953,,,,8.890000343322754,90.44733428955078,20.492694854736328,232.45579528808594,12.388960838317871,15.949980735778809
2021-07-25,1224.46,652.63,367.3,387.38,283.77,367.45,,,,,,,93900.0,9745.0,10170.0,,,,,,
2021-07-26,1221.26,643.3,367.51,387.65,283.94,367.53,151.72750854492188,126.67169952392578,80.63937377929688,363.8598327636719,106.19759368896484,87.85700988769531,92900.0,9815.0,10080.0,8.899999618530273,91.17677307128906,20.82408905029297,233.4316864013672,12.469178199768066,15.88163948059082
2021-07-27,1201.5,644.07,367.25,387.61,283.79,367.02,150.2931365966797,127.26323699951172,78.14498138427734,359.8509216308594,106.19759368896484,87.84741973876953,90200.0,9900.0,10230.0,9.0,90.78401184082031,20.680784225463867,235.69924926757812,12.469178199768066,15.838921546936035
2021-07-28,1213.02,647.68,367.35,387.9,283.96,367.06,150.1064910888672,127.718994140625,79.88723754882812,361.2332458496094,106.20718383789062,87.84741973876953,90640.0,9900.0,10290.0,8.989999771118164,90.87751007080078,20.340431213378906,231.32679748535156,12.460264205932617,15.864548683166504
2021-07-29,1220.81,658.24,367.14,387.79,283.94,367.08,150.80401611328125,128.029296875,79.77300262451172,361.8751220703125,106.20718383789062,87.85700988769531,90510.0,9814.0,10270.0,9.100000381469727,91.62564086914062,20.438955307006836,233.469970703125,12.43352222442627,15.907262802124023
2021-07-30,,,,,,,150.70574951171875,128.14566040039062,78.83045959472656,359.9891052246094,106.20718383789062,87.84741973876953,,,,8.920000076293945,91.17677307128906,20.017995834350586,232.2166290283203,12.380046844482422,15.873090744018555
2021-08-01,1225.63,664.17,367.73,388.38,283.77,367.77,,,,,,,88900.0,9875.0,10290.0,,,,,,
2021-08-02,1231.41,669.82,368.38,389.0,283.8,368.92,150.16542053222656,128.32020568847656,77.25955200195312,360.0187683105469,106.20718383789062,87.84741973876953,90120.0,10140.0,10350.0,8.8100004196167,89.75533294677734,18.056501388549805,229.71945190429688,12.469563484191895,15.864548683166504
2021-08-03,1208.12,649.61,368.49,389.26,283.81,369.25,151.12818908691406,130.10443115234375,78.8495101928711,362.20098876953125,106.20718383789062,87.84741973876953,88360.0,10070.0,10290.0,8.970000267028809,90.30707550048828,18.1550235748291,226.70565795898438,12.460612297058105,15.890175819396973
2021-08-04,1213.0,645.75,368.76,389.51,283.84,369.57,151.43276977539062,129.55174255371094,75.30784606933594,362.72430419921875,106.19759368896484,87.84741973876953,88660.0,10020.0,10200.0,8.819999694824219,88.50223541259766,17.36684226989746,224.6772918701172,12.415854454040527,15.856003761291504
2021-08-05,1211.5,645.91,368.69,389.45,283.83,369.27,152.26783752441406,129.01837158203125,77.32621002197266,365.0249938964844,106.19759368896484,87.84741973876953,87300.0,10040.0,10200.0,8.869999885559082,90.0078353881836,17.51910400390625,226.19854736328125,12.478514671325684,15.975605964660645
2021-08-06,,,,,,,152.14013671875,128.91172790527344,78.19257354736328,363.42535400390625,106.20718383789062,87.85700988769531,,,,8.760000228881836,91.70979309082031,17.331016540527344,226.04547119140625,12.326338768005371,16.043949127197266
2021-08-08,1211.19,639.19,368.56,389.01,284.01,369.2,,,,,,,88750.0,10100.0,10300.0,,,,,,
2021-08-09,1208.48,624.07,368.27,388.88,283.91,368.98,151.64891052246094,129.40625,76.89776611328125,364.09686279296875,106.19759368896484,87.85700988769531,88570.0,10120.0,10310.0,9.1899995803833,91.57887268066406,17.966938018798828,224.53378295898438,12.362144470214844,16.1208438873291
2021-08-10,1215.27,634.19,368.13,388.58,283.88,368.84,150.5583953857422,129.10568237304688,79.02086639404297,362.2305603027344,106.19759368896484,87.84741973876953,86410.0,10180.0,10360.0,9.270000457763672,92.40180969238281,18.10128402709961,223.35694885253906,12.380046844482422,16.231901168823242
2021-08-11,1201.98,631.26,367.98,388.29,283.87,368.66,150.57806396484375,127.82567596435547,79.3064956665039,361.6084899902344,106.18797302246094,87.84741973876953,85240.0,10230.0,10360.0,9.600000381469727,93.18733215332031,18.28041648864746,225.36614990234375,12.380046844482422,16.48819351196289
2021-08-12,1211.95,637.95,368.04,388.27,283.98,368.79,151.44256591796875,128.8341522216797,79.0684585571289,362.91192626953125,106.18797302246094,87.84741973876953,85270.0,10350.0,10500.0,9.6899995803833,93.52398681640625,18.307287216186523,226.43775939941406,12.48746395111084,16.57362937927246
2021-08-13,,,,,,,152.26783752441406,129.6389923095703,76.38367462158203,364.1856689453125,106.18797302246094,87.85700988769531,,,,8.609999656677246,93.23407745361328,18.387895584106445,228.4947967529297,12.460612297058105,16.47110939025879
2021-08-15,1200.8,642.88,368.59,388.84,283.84,369.47,,,,,,,85620.0,10480.0,10580.0,,,,,,
2021-08-16,1185.63,627.57,369.09,389.32,283.87,369.95,152.95555114746094,131.11293029785156,74.14633178710938,364.3437194824219,106.18797302246094,87.83781433105469,85240.0,10470.0,10640.0,8.65999984741211,93.26213836669922,17.716150283813477,230.5518341064453,12.442710876464844,16.411300659179688
2021-08-17,1176.89,621.19,369.22,389.4,283.86,370.14,151.68820190429688,132.66444396972656,73.63220977783203,361.134521484375,106.19759368896484,87.83781433105469,85590.0,10630.0,10750.0,8.850000381469727,92.10255432128906,17.966938018798828,229.8916778564453,12.362144470214844,16.505281448364258
2021-08-18,1188.58,623.7,369.39,389.53,283.9,370.53,149.5956268310547,130.6474609375,71.56624603271484,357.6587829589844,106.18797302246094,87.83781433105469,87290.0,10900.0,10950.0,8.770000457763672,91.66302490234375,17.653451919555664,227.78677368164062,12.433755874633789,16.590713500976562
2021-08-19,1189.05,615.45,369.23,389.57,284.01,370.32,151.05943298339844,131.23899841308594,69.38603973388672,359.38677978515625,106.18797302246094,87.85700988769531,87100.0,10950.0,11200.0,8.119999885559082,91.87812042236328,17.42953872680664,226.97354125976562,12.460612297058105,16.49673843383789
2021-08-20,,,,,,,153.0046844482422,131.98565673828125,69.6621322631836,363.1094055175781,106.19759368896484,87.85700988769531,,,,8.170000076293945,91.96228790283203,17.73406410217285,228.17906188964844,12.362144470214844,16.47965431213379
2021-08-22,1192.13,611.27,369.42,389.79,283.92,370.78,,,,,,,88700.0,11000.0,11450.0,,,,,,
2021-08-23,1206.21,621.74,369.43,389.65,283.91,370.93,154.97938537597656,132.03414916992188,73.18475341796875,368.540283203125,106.18797302246094,87.83781433105469,89820.0,11020.0,11440.0,8.039999961853027,91.3637924194336,18.020675659179688,229.29849243164062,12.397950172424316,16.47965431213379
2021-08-24,1220.74,635.24,369.66,389.74,283.91,371.09,154.80252075195312,131.5686798095703,75.37448120117188,369.66595458984375,106.18797302246094,87.83781433105469,91370.0,10780.0,11570.0,8.0,91.51341247558594,17.922149658203125,228.1216583251953,12.397950172424316,16.556983947753906
2021-08-25,1233.56,632.3,369.68,389.67,283.87,370.98,154.71409606933594,131.2098846435547,76.72640228271484,370.090576171875,106.19759368896484,87.83781433105469,93910.0,10650.0,11500.0,8.0,91.43860626220703,17.76093292236328,228.50436401367188,12.371094703674316,16.62571907043457
2021-08-26,1234.51,627.49,369.56,389.79,283.91,370.98,153.7415008544922,130.69595336914062,75.42208862304688,367.740478515625,106.18797302246094,87.84741973876953,93920.0,10610.0,11350.0,8.069999694824219,89.56829833984375,17.510147094726562,226.70565795898438,12.281578063964844,16.49683380126953
2021-08-27,,,,,,,155.2249755859375,130.55050659179688,79.40170288085938,371.31500244140625,106.18797302246094,87.84741973876953,,,,8.0600004196167,92.68234252929688,17.895280838012695,227.21273803710938,12.308436393737793,16.62571907043457
2021-08-29,1247.49,635.63,370.11,390.48,283.91,371.65,,,,,,,94200.0,10650.0,11440.0,,,,,,
2021-08-30,1243.17,632.56,370.45,390.84,283.94,372.16,156.89511108398438,131.2874755859375,78.08785247802734,375.4819641113281,106.18797302246094,87.84741973876953,94950.0,10690.0,11570.0,8.0600004196167,91.33574676513672,18.04754638671875,226.3612060546875,12.344240188598633,16.62571907043457
2021-08-31,1235.39,625.6,371.06,391.4,283.98,373.13,156.0698699951172,131.11293029785156,78.68765258789062,375.17584228515625,106.18797302246094,87.83781433105469,93580.0,10670.0,11590.0,7.900000095367432,91.55081939697266,18.19980812072754,228.4391632080078,12.380046844482422,16.651493072509766
2021-09-01,1239.24,628.39,370.93,391.17,283.96,372.8,156.1091766357422,131.1517333984375,78.09737396240234,375.79791259765625,106.18797302246094,87.83781433105469,94500.0,10620.0,11630.0,7.639999866485596,91.3637924194336,18.23563575744629,229.10292053222656,12.326103210449219,16.668682098388672
2021-09-02,1235.89,643.5,370.73,390.93,284.05,372.36,155.942138671875,132.5578155517578,80.69649505615234,375.62017822265625,106.19759368896484,87.85700988769531,93900.0,10560.0,11500.0,7.559999942779541,92.75716400146484,18.387895584106445,230.75758361816406,12.398030281066895,16.60853385925293
2021-09-03,,,,,,,156.5610809326172,132.7032470703125,80.4679946899414,376.7754821777344,106.18797302246094,87.83781433105469,,,,7.389999866485596,94.44041442871094,18.477460861206055,229.74749755859375,12.407018661499023,16.48824119567871
2021-09-05,1247.41,652.93,370.71,390.73,284.03,372.39,,,,,,,94160.0,10580.0,11560.0,,,,,,
2021-09-07,,,,,,,156.60037231445312,131.92747497558594,80.239501953125,377.3087158203125,106.18797302246094,87.83781433105469,,,,7.199999809265137,93.69231414794922,18.092329025268555,227.2174072265625,12.380047798156738,16.574167251586914
2021-09-08,,,,,,,156.0010986328125,131.8693084716797,79.31600189208984,375.9954528808594,106.19759368896484,87.83781433105469,,,,7.239999771118164,93.5052719116211,18.065460205078125,229.55508422851562,12.433990478515625,16.642902374267578
2021-09-09,1245.26,655.98,370.64,390.6,284.07,372.61,155.41163635253906,130.34686279296875,80.30615997314453,374.7018737792969,106.19759368896484,87.83781433105469,95600.0,10750.0,11590.0,7.050000190734863,93.08445739746094,17.823627471923828,229.54544067382812,12.398030281066895,16.531204223632812
2021-09-10,,,,,,,153.87905883789062,129.15414428710938,79.65875244140625,371.8580627441406,106.18797302246094,87.84741973876953,,,,7.099999904632568,92.22413635253906,17.653451919555664,230.0937957763672,12.362067222595215,16.531204223632812
