,LQD,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,GBIL,VGLT,USFR,TLH,EDV,SGOV,CLTL,FLGV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-14,104.91516876220703,79.6490249633789,103.92150115966797,115.01994323730469,23.380643844604492,99.69679260253906,86.50812530517578,116.41484069824219,56.46033477783203,46.98183059692383,59.235897064208984,49.7465705871582,28.168415069580078,28.579111099243164,32.925880432128906,94.55123901367188,69.84077453613281,47.14594650268555,123.64043426513672,102.35377502441406,,99.3160171508789,,47.36842346191406,107.78175354003906,30.686418533325195
2019-05-15,105.20585632324219,79.70585632324219,103.92150115966797,115.72640991210938,23.436296463012695,100.01492309570312,86.517578125,116.6603775024414,56.497718811035156,47.0192756652832,59.3736686706543,49.839054107666016,28.187353134155273,28.631134033203125,33.144901275634766,94.56066131591797,70.27578735351562,47.14594650268555,124.17276000976562,103.02801513671875,,99.3395767211914,,47.359012603759766,108.82425689697266,30.75189208984375
2019-05-16,105.03851318359375,79.65848541259766,103.94972229003906,115.34107208251953,23.408472061157227,99.81840515136719,86.52706146240234,116.53764343261719,56.497718811035156,47.00056457519531,59.300209045410156,49.78355407714844,28.177881240844727,28.5980281829834,33.0262451171875,94.5937271118164,70.0401382446289,47.14594650268555,123.88406372070312,102.70818328857422,,99.35834503173828,,47.36842346191406,108.0926742553711,30.733177185058594
2019-05-17,105.04730224609375,79.67743682861328,103.94972229003906,115.59796142578125,23.41774559020996,99.86521911621094,86.53650665283203,116.5659408569336,56.497718811035156,47.00056457519531,59.318546295166016,49.811302185058594,28.177881240844727,28.60275650024414,33.10839080810547,94.59844207763672,70.23951721191406,47.14594650268555,124.02839660644531,102.99342346191406,,99.36776733398438,,47.37784194946289,108.73282623291016,30.798654556274414
2019-05-20,104.80068969726562,79.63953399658203,103.94033813476562,115.35942840576172,23.380643844604492,99.69679260253906,86.54595947265625,116.40536499023438,56.47901916503906,46.991207122802734,59.235897064208984,49.72806930541992,28.168415069580078,28.583837509155273,33.0262451171875,94.5795669555664,70.08545684814453,47.14594650268555,123.7577133178711,102.83785247802734,,99.37720489501953,,47.37784194946289,108.5224838256836,30.73304557800293
2019-05-21,104.88872528076172,79.6016616821289,103.95913696289062,115.17589569091797,23.371379852294922,99.5844955444336,86.54595947265625,116.27317810058594,56.45097732543945,46.95375061035156,59.16242980957031,49.672576904296875,28.14948081970215,28.541271209716797,32.98061752319336,94.59844207763672,69.95861053466797,47.164730072021484,123.57723236083984,102.61309814453125,,99.37720489501953,,47.38726043701172,108.29385375976562,30.64873695373535
2019-05-22,105.0208969116211,79.63953399658203,103.96853637695312,115.83654022216797,23.41774559020996,99.8838882446289,86.56486511230469,116.5281753540039,56.47901916503906,46.97246551513672,59.300209045410156,49.774322509765625,28.168415069580078,28.60748863220215,33.172271728515625,94.60787963867188,70.34825897216797,47.14594650268555,124.1005859375,103.29597473144531,,99.38664245605469,,47.39668273925781,109.13517761230469,30.770545959472656
2019-05-23,105.24992370605469,79.78160095214844,103.99674987792969,117.13941192626953,23.529037475585938,100.49211883544922,86.58377075195312,116.9626235961914,56.57246780395508,47.06609344482422,59.548152923583984,49.97776794433594,28.225210189819336,28.725717544555664,33.53730010986328,94.63619232177734,71.13665008544922,47.14594650268555,125.12916564941406,104.9815444946289,,99.41961669921875,,47.40607833862305,110.79957580566406,31.014158248901367
2019-05-24,105.47013854980469,79.75315856933594,104.00618743896484,117.24031066894531,23.529037475585938,100.46403503417969,86.58377075195312,116.92485809326172,56.55379867553711,47.03801345825195,59.51142120361328,49.96852493286133,28.20627784729004,28.716259002685547,33.56465148925781,94.64561462402344,71.16382598876953,47.164730072021484,125.19226837158203,105.09391021728516,,99.42903900146484,,47.40607833862305,111.13792419433594,31.014158248901367
2019-05-28,105.54063415527344,79.81947326660156,104.00618743896484,118.08442687988281,23.593957901000977,100.90382385253906,86.59321594238281,117.18932342529297,56.60050582885742,47.075462341308594,59.676727294921875,50.12575149536133,28.234676361083984,28.787193298339844,33.811073303222656,94.65505981445312,71.71662902832031,47.14215850830078,125.9050064086914,106.1571273803711,,99.43846130371094,,47.40607833862305,112.37248229980469,31.210918426513672
2019-05-29,105.58465576171875,79.82892608642578,104.00618743896484,118.44229888916016,23.60323715209961,100.86641693115234,86.59321594238281,117.14205169677734,56.60050582885742,47.09416580200195,59.676727294921875,50.11650466918945,28.234676361083984,28.791919708251953,33.89320755004883,94.66451263427734,71.90692138671875,47.179752349853516,126.06742095947266,106.43375396728516,,99.44693756103516,,47.415496826171875,112.48224639892578,31.25777816772461
2019-05-30,106.1924819946289,79.89521789550781,104.03439331054688,119.4607162475586,23.66815757751465,101.23128509521484,86.62158203125,117.39708709716797,56.65657043457031,47.131629943847656,59.83287048339844,50.218223571777344,28.26307487487793,28.853412628173828,34.17610168457031,94.68338012695312,72.50502014160156,47.19855499267578,126.79822540283203,107.84272003173828,,99.4572982788086,,47.415496826171875,114.29293823242188,31.388946533203125
2019-05-31,106.43912506103516,80.06563568115234,104.06263732910156,120.95628356933594,23.788715362548828,101.90498352050781,86.62158203125,117.96376037597656,56.79673767089844,47.234615325927734,60.13591766357422,50.48642349243164,28.319862365722656,29.004749298095703,34.605010986328125,94.69281768798828,73.42027282714844,47.16095733642578,127.8628921508789,109.65796661376953,,99.46580505371094,,47.42490768432617,116.73461151123047,31.688779830932617
2019-06-03,106.76697540283203,80.21650695800781,104.10125732421875,121.7653579711914,23.887208938598633,102.39530944824219,86.61781311035156,118.37627410888672,56.89413070678711,47.326576232910156,60.357696533203125,50.679203033447266,28.377717971801758,29.1160945892334,34.828182220458984,94.71739196777344,73.88347625732422,47.16095733642578,128.56439208984375,110.59151458740234,,99.51385498046875,,47.424903869628906,117.45704650878906,31.857439041137695
2019-06-04,106.80230712890625,80.15956115722656,104.09186553955078,120.3770523071289,23.8035888671875,102.02027893066406,86.6367416381836,118.14920043945312,56.85667419433594,47.29843521118164,60.2288703918457,50.57725143432617,28.358749389648438,29.05449104309082,34.453189849853516,94.72685241699219,73.07514190673828,47.19855499267578,127.75975036621094,108.78491973876953,,99.51007843017578,,47.424903869628906,115.50918579101562,31.651296615600586
2019-06-05,106.73162841796875,80.197509765625,104.1295394897461,119.69668579101562,23.77570915222168,102.02027893066406,86.6367416381836,118.2532958984375,56.90349197387695,47.326576232910156,60.27486801147461,50.61433792114258,28.377717971801758,29.078174591064453,34.2611198425293,94.74577331542969,72.67556762695312,47.179752349853516,127.52471160888672,107.70443725585938,,99.5892562866211,,47.43434143066406,114.06429290771484,31.57634162902832
