Symbol,sector,description,total_return,total_volatility,total_sharpe,annual_return,annual_volatility,annual_sharpe,monthly_return,monthly_volatility,monthly_sharpe,forecast_return,forecast_volatility,forecast_sharpe
SPTI,US bonds indexes,SPDR Portfolio Intermediate Ter,,,,,,,,,,,,
SPTL,US bonds indexes,SPDR Portfolio Long Term Treasu,,,,,,,,,,,,
GBIL,US bonds indexes,Goldman Sachs Access Treasury 0,,,,,,,,,,,,
VGLT,US bonds indexes,Vanguard Long-Term Treasury ETF,,,,,,,,,,,,
USFR,US bonds indexes,WisdomTree Floating Rate Treasu,,,,,,,,,,,,
TLH,US bonds indexes,iShares 10-20 Year Treasury Bon,,,,,,,,,,,,
EDV,US bonds indexes,Vanguard Extended Duration Trea,,,,,,,,,,,,
SGOV,US bonds indexes,iShares 0-3 Month Treasury Bond,,,,,,,,,,,,
CLTL,US bonds indexes,Invesco Treasury Collateral ETF,,,,,,,,,,,,
FLGV,US bonds indexes,Franklin U.S. Treasury Bond ETF,,,,,,,,,,,,
TFLO,US bonds indexes,iShares Treasury Floating Rate ,,,,,,,,,,,,
ZROZ,US bonds indexes,PIMCO 25  Year Zero Coupon U.S.,,,,,,,,,,,,
PLW,US bonds indexes,Invesco 1-30 Laddered Treasury ,,,,,,,,,,,,
GLD,US commodity indexes,SPDR Gold Trust,,,,,,,,,,,,
OIL,US commodity indexes,iPath Pure Beta Crude Oil ETN,,,,,,,,,,,,
GSG,US commodity indexes,iShares GSCI Commodity-Indexed ,,,,,,,,,,,,
1166552,Israel stocks,ממשל משתנה 1130,,,,,,,,,,,,
1141795,Israel stocks,ממשל משתנה 0526,,,,,,,,,,,,
1150879,Israel stocks,ממשל שקלית 0928,,,,,,,,,,,,
1155068,Israel stocks,ממשל שקלית 1123,,,,,,,,,,,,
1160985,Israel stocks,ממשל שקלית 0330,,,,,,,,,,,,
1162668,Israel stocks,ממשל שקלית 0425,,,,,,,,,,,,
1166180,Israel stocks,ממשל שקלית 0537,,,,,,,,,,,,
1099456,Israel stocks,ממשל שקלית 1026,,,,,,,,,,,,
1125400,Israel stocks,ממשל שקלית 0142,,,,,,,,,,,,
1130848,Israel stocks,ממשל שקלית 0324,,,,,,,,,,,,
1135557,Israel stocks,ממשל שקלית 0825,,,,,,,,,,,,
1139344,Israel stocks,ממשל שקלית 0327,,,,,,,,,,,,
1140193,Israel stocks,ממשל שקלית 0347,,,,,,,,,,,,
1174697,Israel stocks,ממשל שקלית 0226,,,,,,,,,,,,
1175777,Israel stocks,ממשל שקלית 1024,,,,,,,,,,,,
1180660,Israel stocks,ממשל שקלית 0432,,,,,,,,,,,,
1184076,Israel stocks,ממשל שקלית 1152,,,,,,,,,,,,
1194802,Israel stocks,ממשל שקלית 0229,,,,,,,,,,,,
1197326,Israel stocks,ממשל צמודה 1028,,,,,,,,,,,,
9590431,Israel stocks,גליל 5904,,,,,,,,,,,,
1168301,Israel stocks,ממשל צמודה 1151,,,,,,,,,,,,
1169564,Israel stocks,ממשל צמודה 0726,,,,,,,,,,,,
1172220,Israel stocks,ממשל צמודה 1131,,,,,,,,,,,,
1157023,Israel stocks,ממשל צמודה 0529,,,,,,,,,,,,
1140847,Israel stocks,ממשל צמודה 0527,,,,,,,,,,,,
1135912,Israel stocks,ממשל צמודה 1025,,,,,,,,,,,,
1134865,Israel stocks,ממשל צמודה 0545,,,,,,,,,,,,
1128081,Israel stocks,ממשל צמודה 0923,,,,,,,,,,,,
1120583,Israel stocks,ממשל צמודה 0841,,,,,,,,,,,,
1097708,Israel stocks,ממשל צמודה 0536,,,,,,,,,,,,
1181197,Israel stocks,ממשל גלובל07/30,,,,,,,,,,,,
1181205,Israel stocks,ממשל גלובל03/26,,,,,,,,,,,,
1181221,Israel stocks,ממשל גלובל01/29,,,,,,,,,,,,
1181239,Israel stocks,ממשל גלובל01/27,,,,,,,,,,,,
1181247,Israel stocks,ממשל גלובל01/24,,,,,,,,,,,,
8230914,Israel stocks,מ.ק.מ.      913,,,,,,,,,,,,
8231029,Israel stocks,מ.ק.מ.     1023,,,,,,,,,,,,
8231128,Israel stocks,מ.ק.מ.     1123,,,,,,,,,,,,
8231219,Israel stocks,מ.ק.מ.     1213,,,,,,,,,,,,
8240111,Israel stocks,מ.ק.מ.      114,,,,,,,,,,,,
8240210,Israel stocks,מ.ק.מ.      214,,,,,,,,,,,,
8240319,Israel stocks,מ.ק.מ.      314,,,,,,,,,,,,
8240418,Israel stocks,מ.ק.מ.      414,,,,,,,,,,,,
8240525,Israel stocks,מ.ק.מ.      524,,,,,,,,,,,,
8240616,Israel stocks,מ.ק.מ.      614,,,,,,,,,,,,
8240715,Israel stocks,מ.ק.מ.      714,,,,,,,,,,,,
8240814,Israel stocks,מ.ק.מ. 814,,,,,,,,,,,,
