,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2016-05-24,337.21,346.19,458.74,279.8,323.22,1428.24,788.23,182.20001220703125,102.55317687988281,1135.31005859375,111.55108642578125,93.48808288574219,15.319999694824219,117.30000305175781,17.1200008392334
2016-05-25,336.99,345.83,458.32,279.8,323.22,1440.69,798.24,183.43585205078125,103.29067993164062,1141.02001953125,111.515380859375,93.65351104736328,15.510000228881836,116.9800033569336,17.415000915527344
2016-05-26,337.3,346.19,458.69,279.81,323.24,1430.5,792.98,183.48843383789062,103.59327697753906,1139.75,111.80972290039062,93.92118835449219,15.520000457763672,116.58000183105469,17.35059928894043
2016-05-27,,,,,,,,184.2772979736328,104.13220977783203,1150.449951171875,111.57781982421875,93.85034942626953,15.579999923706055,115.62000274658203,17.34000015258789
2016-05-29,337.58,346.54,459.35,279.82,323.21,1435.15,791.84,,,,,,,,
2016-05-30,337.42,346.23,458.84,279.79,323.24,1447.46,798.81,,,,,,,,
2016-05-31,337.29,345.94,458.63,279.78,323.24,1444.34,804.12,183.9266815185547,104.33078002929688,1154.7900390625,111.68488311767578,94.01569366455078,15.420000076293945,116.05999755859375,17.5
2016-06-01,337.54,346.18,459.2,279.76,323.25,1440.45,803.24,184.30355834960938,104.3402328491211,1163.0400390625,111.62237548828125,94.08202362060547,15.569999694824219,115.94000244140625,17.15999984741211
2016-06-02,337.46,346.1,459.64,279.73,323.25,1444.86,804.66,184.86459350585938,104.55770111083984,1170.5799560546875,111.79202270507812,94.27153778076172,15.619999885559082,115.66999816894531,17.304399490356445
2016-06-03,,,,,,,,184.3123779296875,104.0660400390625,1164.1300048828125,112.45275115966797,95.02961730957031,15.670000076293945,118.87999725341797,17.006200790405273
2016-06-05,338.04,346.79,460.61,279.77,323.3,1443.87,804.02,,,,,,,,
