,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2016-04-07,860.16,301.46,336.53,401.86,236.57,601.1,279.88,321.56,40.01910400390625,61.35382080078125,106.50797271728516,103.1394271850586,99.0457534790039,23580.0,4201.0,4567.0,9.890000343322754,29.200740814208984,22.445493698120117,106.7158432006836,9.577180862426758,7.233680725097656
2016-04-08,,,,,,,,,40.01910400390625,61.18619918823242,110.4474868774414,103.06378173828125,99.05474853515625,,,,9.890000343322754,29.255474090576172,22.47649383544922,106.56592559814453,9.550830841064453,7.3073201179504395
2016-04-10,864.49,301.46,336.46,401.6,236.68,600.24,279.86,321.56,,,,,,23350.0,4194.0,4580.0,,,,,,
2016-04-11,860.94,301.38,336.42,401.25,236.84,599.0,279.86,321.17,39.909671783447266,60.718589782714844,110.30679321289062,102.685546875,99.0367660522461,23660.0,4235.0,4669.0,9.890000343322754,29.278928756713867,22.398984909057617,106.23280334472656,9.590349197387695,7.301656723022461
2016-04-12,860.08,301.37,336.34,400.93,236.84,597.89,279.84,321.36,40.1832160949707,61.212642669677734,117.76374816894531,103.5459976196289,99.05474853515625,23270.0,4265.0,4666.0,9.890000343322754,29.52129364013672,22.484241485595703,106.27444458007812,9.57059097290039,7.3073201179504395
2016-04-13,872.64,301.69,336.45,400.66,236.86,596.87,279.87,321.68,40.59355163574219,61.786155700683594,116.46231079101562,104.86974334716797,99.05474853515625,23850.0,4270.0,4710.0,9.890000343322754,29.920019149780273,22.80976676940918,105.67481994628906,9.504721641540527,7.3299784660339355
2016-04-14,870.17,302.07,336.78,400.88,236.9,597.55,279.88,321.8,40.58441162109375,61.82142639160156,116.56781005859375,104.87918853759766,99.0457534790039,24120.0,4240.0,4749.0,9.890000343322754,29.513473510742188,22.895021438598633,106.19116973876953,9.504721641540527,7.3073201179504395
2016-04-15,,,,,,,,,40.42941665649414,61.77729415893555,114.5277099609375,104.61443328857422,99.0457534790039,,,,9.890000343322754,29.333656311035156,23.259296417236328,106.416015625,9.557417869567871,7.222349166870117
2016-04-17,890.14,302.42,337.17,401.43,236.88,599.54,279.91,321.9,,,,,,24570.0,4324.0,4786.0,,,,,,
2016-04-18,887.62,302.27,336.99,401.17,236.71,598.61,279.95,321.82,40.60265350341797,62.350807189941406,116.84921264648438,105.17230224609375,99.0636978149414,24510.0,4379.0,4784.0,9.890000343322754,29.278928756713867,23.30579948425293,107.30714416503906,9.544240951538086,7.312985897064209
