,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2018-02-20,351.44,352.89,472.06,281.97,324.86,1498.85,1107.63,247.31527709960938,159.2279510498047,1529.989990234375,110.43141174316406,98.61506652832031,16.309999465942383,126.23999786376953,17.799999237060547
2018-02-21,351.37,352.96,472.42,281.94,324.89,1502.25,1107.06,246.0850830078125,158.77517700195312,1531.8399658203125,110.26573944091797,98.07633972167969,16.270000457763672,125.66000366210938,17.799999237060547
2018-02-22,350.95,352.72,472.31,281.93,324.88,1499.34,1098.66,246.4040069580078,158.75592041015625,1529.989990234375,110.40376281738281,98.21097564697266,16.469999313354492,126.30000305175781,17.799999237060547
2018-02-23,,,,,,,,250.33151245117188,162.00234985351562,1549.18994140625,110.57864379882812,98.66556549072266,16.6299991607666,126.13999938964844,17.799999237060547
2018-02-25,351.43,353.17,472.89,281.95,324.9,1507.95,1102.07,,,,,,,,
2018-02-26,351.66,353.29,473.52,281.98,324.89,1508.75,1101.25,253.23841857910156,164.15054321289062,1559.3299560546875,110.6523208618164,98.79183197021484,16.709999084472656,126.44999694824219,18.809999465942383
2018-02-27,351.97,353.55,473.9,281.99,324.9,1511.06,1102.57,250.07640075683594,162.11790466308594,1536.469970703125,110.42217254638672,98.362548828125,16.530000686645508,125.12999725341797,18.809999465942383
2018-02-28,351.89,353.86,474.37,282.0,324.93,1500.56,1094.85,247.54315185546875,161.0775604248047,1512.449951171875,110.50501251220703,98.54774475097656,16.270000457763672,125.0,18.809999465942383
2018-03-01,,,,,,,,243.94366455078125,158.44769287109375,1507.3900146484375,110.8395767211914,98.44648742675781,16.309999465942383,124.72000122070312,18.040000915527344
2018-03-02,,,,,,,,245.2010955810547,159.90232849121094,1533.1700439453125,110.61839294433594,98.13410949707031,16.290000915527344,125.38999938964844,18.040000915527344
2018-03-04,352.01,354.14,474.75,281.96,324.95,1486.3,1082.51,,,,,,,,
2018-03-05,352.1,354.34,475.25,281.86,324.98,1476.78,1072.73,248.03509521484375,161.67481994628906,1546.050048828125,110.58155059814453,98.10034942626953,16.479999542236328,125.18000030517578,18.41320037841797
2018-03-06,352.24,354.23,475.13,281.96,324.95,1482.12,1079.06,248.66390991210938,162.35877990722656,1562.199951171875,110.54463958740234,98.18473815917969,16.450000762939453,126.52999877929688,18.41320037841797
2018-03-07,351.89,354.0,475.02,281.97,324.95,1479.48,1075.91,248.57289123535156,162.73446655273438,1574.530029296875,110.54463958740234,98.15100860595703,16.260000228881836,125.72000122070312,18.41320037841797
2018-03-08,351.57,354.01,474.89,281.95,324.96,1481.35,1073.73,249.775634765625,163.63035583496094,1571.969970703125,110.67367553710938,98.34514617919922,16.1299991607666,125.41999816894531,18.030000686645508
2018-03-09,,,,,,,,254.12232971191406,166.809326171875,1597.1400146484375,110.56307220458984,97.9990005493164,16.34000015258789,125.54000091552734,18.030000686645508
2018-03-11,351.53,353.81,474.7,281.95,324.98,1494.5,1080.82,,,,,,,,
2018-03-12,351.19,353.61,474.75,282.02,324.97,1493.78,1078.21,253.80345153808594,167.6956329345703,1601.06005859375,110.67367553710938,98.12564849853516,16.219999313354492,125.54000091552734,18.22960090637207
