,TSLA,ADBE,JNJ,EOI,AAPL,AMZN,MSFT,GOOG,META,NVDA,AJG,BRO,BAC,CSL,593038,273011,442012,1081124
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,closingPrice
2016-03-11,13.833333015441895,86.0,88.14787292480469,7.245979309082031,23.43131446838379,28.480499267578125,47.59651184082031,36.340999603271484,109.41000366210938,7.893011093139648,36.94289016723633,15.994430541992188,11.75827693939209,86.97708129882812,,,,
2016-03-13,,,,,,,,,,,,,,,4655.0,23390.0,242.8,33950.0
2016-03-14,14.34333324432373,87.01000213623047,88.1069564819336,7.245979309082031,23.490888595581055,28.668500900268555,47.68619918823242,36.52450180053711,109.88999938964844,7.912606716156006,36.81282043457031,15.957189559936523,11.630380630493164,85.9148178100586,4639.0,23470.0,242.8,33550.0
2016-03-15,14.555999755859375,86.83000183105469,88.18880462646484,7.200336933135986,23.962915420532227,28.85099983215332,48.06288528442383,36.416500091552734,110.66999816894531,7.873412609100342,37.003578186035156,16.022363662719727,11.570690155029297,86.21443176269531,4675.0,23890.0,242.8,34050.0
2016-03-16,14.795332908630371,88.16999816894531,87.90237426757812,7.217449188232422,24.281408309936523,28.713499069213867,48.744503021240234,36.804500579833984,112.18000030517578,8.108586311340332,37.263755798339844,15.989771842956543,11.349000930786133,86.32341003417969,4625.0,24490.0,242.8,34610.0
2016-03-17,15.092000007629395,89.95999908447266,87.35405731201172,7.183219909667969,24.242460250854492,27.972000122070312,49.02252960205078,36.888999938964844,111.0199966430664,8.039993286132812,37.905479431152344,16.306312561035156,11.425741195678711,88.55683898925781,4697.0,24550.0,242.8,34800.0
2016-03-18,15.515999794006348,93.41999816894531,87.97602844238281,7.183219909667969,24.26995086669922,27.604000091552734,47.973201751708984,36.880001068115234,111.44999694824219,8.282514572143555,37.87947082519531,16.38544273376465,11.75827693939209,89.21054077148438,,,,
2016-03-20,,,,,,,,,,,,,,,4676.0,25010.0,242.8,35060.0
2016-03-21,15.887999534606934,92.5,87.79597473144531,7.211747169494629,24.26766014099121,27.698999404907227,48.3050422668457,37.10449981689453,111.8499984741211,8.307015419006348,38.243690490722656,16.459924697875977,11.800910949707031,89.07433319091797,4687.0,24610.0,249.8,34730.0
2016-03-22,15.616000175476074,92.55999755859375,87.87781524658203,7.255406379699707,24.453256607055664,28.02400016784668,48.49338150024414,37.037498474121094,112.25,8.292315483093262,38.243690490722656,16.511127471923828,11.732697486877441,89.1923599243164,4633.0,24570.0,249.8,35750.0
2016-03-23,14.838666915893555,92.16000366210938,88.79440307617188,7.220935344696045,24.318065643310547,28.48150062561035,48.403690338134766,36.90299987792969,112.54000091552734,8.434398651123047,38.17431640625,16.31561851501465,11.613325119018555,88.79287719726562,4606.0,24970.0,249.8,37050.0
2016-03-24,15.183333396911621,92.5199966430664,88.63892364501953,7.094555377960205,24.21266746520996,29.147499084472656,48.61893844604492,36.76499938964844,113.05000305175781,8.446651458740234,38.13963317871094,16.394763946533203,11.664488792419434,88.32076263427734,,,,
2016-03-27,,,,,,,,,,,,,,,4633.0,24690.0,249.8,36000.0
2016-03-28,15.350666999816895,92.4000015258789,88.57344818115234,7.1692376136779785,24.102684020996094,28.993499755859375,48.01805114746094,36.67649841308594,113.69000244140625,8.532388687133789,38.096275329589844,16.45526695251465,11.613325119018555,88.5386734008789,4676.0,24950.0,249.2,36330.0
2016-03-29,15.342000007629395,93.22000122070312,89.31816864013672,7.220935344696045,24.673227310180664,29.69300079345703,49.06737518310547,37.23849868774414,116.13999938964844,8.669575691223145,38.39112091064453,16.599573135375977,11.442790031433105,89.65538787841797,4690.0,24730.0,249.6,35930.0
2016-03-30,15.12600040435791,93.77999877929688,89.18722534179688,7.307106971740723,25.104000091552734,29.934499740600586,49.3723030090332,37.5265007019043,114.69999694824219,8.760211944580078,38.47782897949219,16.58560562133789,11.493950843811035,90.5996322631836,4659.0,24650.0,249.2,36020.0
2016-03-31,15.317999839782715,93.80000305175781,88.54887390136719,7.197961330413818,24.973392486572266,29.68199920654297,49.533748626708984,37.247501373291016,114.0999984741211,8.72836685180664,38.5732421875,16.66473960876465,11.528059005737305,90.33631134033203,4657.0,24650.0,256.4,35370.0
2016-04-01,15.839332580566406,95.16000366210938,89.35907745361328,7.335832595825195,25.20252799987793,29.924999237060547,49.83867645263672,37.49549865722656,116.05999755859375,8.855753898620605,38.703311920166016,16.576297760009766,11.562165260314941,90.5996322631836,,,,
2016-04-03,,,,,,,,,,,,,,,4630.0,24130.0,256.4,35590.0
2016-04-04,16.465999603271484,94.5,88.8680419921875,7.312850475311279,25.461450576782227,29.659500122070312,49.713111877441406,37.26449966430664,112.55000305175781,8.770010948181152,38.53854751586914,16.492504119873047,11.519530296325684,89.31946563720703,4589.0,24200.0,256.4,36020.0
2016-04-05,17.031333923339844,94.16999816894531,89.16268157958984,7.266891002655029,25.161279678344727,29.30699920654297,48.93284225463867,36.88999938964844,112.22000122070312,8.757765769958496,37.92281723022461,16.306312561035156,11.246676445007324,89.90962219238281,4597.0,24070.0,262.7,35780.0
2016-04-06,17.69466781616211,95.4000015258789,89.54730224609375,7.347319602966309,25.424787521362305,30.104000091552734,49.435089111328125,37.28450012207031,113.70999908447266,8.770010948181152,38.1569709777832,16.320276260375977,11.314894676208496,90.15473175048828,4619.0,23600.0,264.7,35890.0
2016-04-07,17.14666748046875,93.77999877929688,89.42455291748047,7.335832595825195,24.87028694152832,29.571500778198242,48.84314727783203,37.013999938964844,113.63999938964844,8.679375648498535,37.66267013549805,16.12942123413086,10.956772804260254,89.87327575683594,4567.0,23580.0,264.7,36400.0
2016-04-08,16.67133331298828,94.06999969482422,89.28543090820312,7.410508155822754,24.897781372070312,29.729999542236328,48.807289123535156,36.95750045776367,110.62999725341797,8.73571491241455,37.80141830444336,16.124773025512695,10.982352256774902,89.9005355834961,,,,
2016-04-10,,,,,,,,,,,,,,,4580.0,23350.0,264.7,36550.0
2016-04-11,16.661333084106445,92.94999694824219,89.1790542602539,7.4047651290893555,24.980268478393555,29.796499252319336,48.70862579345703,36.80500030517578,108.98999786376953,8.789609909057617,37.98353576660156,16.17131805419922,11.059089660644531,89.59183502197266,4669.0,23660.0,264.7,37310.0
2016-04-12,16.521333694458008,93.41999816894531,89.69463348388672,7.410508155822754,25.305644989013672,30.15850067138672,49.013553619384766,37.15449905395508,110.61000061035156,8.779809951782227,38.235023498535156,16.320276260375977,11.314894676208496,90.38172912597656,4666.0,23270.0,271.9,37090.0
2016-04-13,16.968666076660156,94.52999877929688,89.91557312011719,7.433488845825195,25.672258377075195,30.740999221801758,49.641361236572266,37.58599853515625,110.51000213623047,9.000286102294922,38.850730895996094,16.525096893310547,11.75827693939209,90.9627914428711,4710.0,23850.0,270.0,37560.0
2016-04-14,16.790666580200195,94.44000244140625,89.89103698730469,7.410508155822754,25.686002731323242,31.037500381469727,49.65033721923828,37.65999984741211,110.83999633789062,9.024784088134766,38.75533676147461,16.534406661987305,12.056713104248047,91.952392578125,4749.0,24120.0,270.0,37600.0
2016-04-15,16.96733283996582,95.16000366210938,90.1692886352539,7.324339389801025,25.17045021057129,31.29450035095215,49.91042709350586,37.95000076293945,109.63999938964844,9.095826148986816,38.972145080566406,16.534406661987305,11.937339782714844,92.60609436035156,,,,
2016-04-17,,,,,,,,,,,,,,,4786.0,24570.0,270.0,37860.0
2016-04-18,16.92533302307129,96.55000305175781,90.78306579589844,7.416254997253418,24.627403259277344,31.767499923706055,50.63687515258789,38.330501556396484,110.44999694824219,9.056626319885254,39.284339904785156,16.757841110229492,12.082290649414062,92.76949310302734,4784.0,24510.0,270.0,38140.0
2016-04-19,16.4913330078125,96.5199966430664,92.21524047851562,7.416254997253418,24.496797561645508,31.395000457763672,50.5741081237793,37.69649887084961,112.29000091552734,8.894947052001953,39.31036376953125,16.05959701538086,12.321037292480469,93.24161529541016,4787.0,24520.0,270.0,38610.0
2016-04-20,16.6646671295166,96.33000183105469,92.95178985595703,7.460204124450684,24.547212600708008,31.649499893188477,49.85660934448242,37.63349914550781,112.41999816894531,8.929244041442871,39.345035552978516,16.124773025512695,12.730318069458008,92.43360137939453,4788.0,24500.0,272.1,37700.0
2016-04-21,16.55266761779785,96.37000274658203,92.94361114501953,7.460204124450684,24.281408309936523,31.549999237060547,50.02701950073242,37.957000732421875,113.44000244140625,8.919445037841797,38.807376861572266,15.966496467590332,12.704741477966309,92.3337173461914,4791.0,24460.0,271.4,37010.0
2016-04-22,16.916667938232422,94.79000091552734,92.7389907836914,7.396590709686279,24.214956283569336,31.024999618530273,46.439552307128906,35.938499450683594,110.55999755859375,8.885148048400879,39.05019760131836,16.148038864135742,12.883801460266113,91.3985824584961,,,,
2016-04-24,,,,,,,,,,,,,,,4817.0,24110.0,280.6,37620.0
2016-04-25,16.788000106811523,95.80000305175781,92.8945083618164,7.402373790740967,24.077472686767578,31.309999465942383,46.73552703857422,36.157501220703125,110.0999984741211,8.929244041442871,38.94612503051758,16.29234504699707,12.755898475646973,90.59053039550781,4782.0,24110.0,280.6,37200.0
2016-04-26,16.916000366210938,96.1500015258789,92.40348052978516,7.471768379211426,23.91021156311035,30.8439998626709,46.1346321105957,35.40700149536133,108.76000213623047,8.936594009399414,39.084877014160156,16.4366512298584,12.866747856140137,90.699462890625,4851.0,24440.0,280.6,38150.0
