,601,602,700,701,702,TA35.TA,TA90.TA,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2021-08-12,388.27,388.81,516.91,283.98,328.96,1710.6700439453125,1967.8399658203125,431.81866455078125,362.9119567871094,2244.070068359375,127.46620178222656,126.3526382446289,15.880000114440918,164.0399932861328,20.760000228881836
2021-08-13,,,,,,,,432.6044921875,364.18572998046875,2223.110107421875,127.72904968261719,127.20011138916016,15.779999732971191,166.38999938964844,20.440000534057617
2021-08-15,388.84,389.35,517.45,283.84,328.97,1714.719970703125,1966.0799560546875,,,,,,,,
2021-08-16,389.32,389.73,517.54,283.87,329.0,1703.0,1944.550048828125,433.6230773925781,364.34368896484375,2209.47998046875,127.904296875,127.27547454833984,15.739999771118164,167.22000122070312,20.290000915527344
2021-08-17,389.4,389.71,517.55,283.86,329.0,1700.68994140625,1933.9000244140625,430.7806091308594,361.134521484375,2177.169921875,127.83610534667969,127.04950714111328,15.579999923706055,166.97000122070312,20.049999237060547
2021-08-18,389.53,389.8,517.54,283.9,328.98,1721.780029296875,1958.300048828125,426.0657043457031,357.65875244140625,2158.780029296875,127.77774810791016,126.96475219726562,15.380000114440918,167.10000610351562,19.559999465942383
2021-08-19,389.57,390.07,517.94,284.01,328.99,1725.1800537109375,1953.68994140625,426.7254333496094,359.3867492675781,2132.419921875,127.8653564453125,127.25666809082031,15.180000305175781,166.61000061035156,19.389999389648438
2021-08-20,,,,,,,,430.1208801269531,363.1094055175781,2167.60009765625,127.77774810791016,127.34140014648438,14.890000343322754,166.6999969482422,18.719999313354492
2021-08-22,389.79,390.31,518.3,283.92,329.0,1732.550048828125,1958.72998046875,,,,,,,,
2021-08-23,389.65,390.03,517.88,283.91,329.01,1744.8299560546875,1979.449951171875,433.9044494628906,368.54034423828125,2208.300048828125,127.83610534667969,127.43557739257812,15.420000076293945,168.72999572753906,19.799999237060547
2021-08-24,389.74,389.88,517.67,283.91,329.0,1752.5,2012.8199462890625,434.5932312011719,369.6659240722656,2230.909912109375,127.69010925292969,127.14366912841797,15.739999771118164,168.64999389648438,20.540000915527344
2021-08-25,389.67,389.64,517.23,283.87,329.0,1767.3399658203125,2022.1400146484375,435.5052185058594,370.0905456542969,2239.27001953125,127.51487731933594,126.81405639648438,15.84000015258789,167.47999572753906,20.67009925842285
2021-08-26,389.79,390.16,517.86,283.91,328.94,1760.6400146484375,2012.4000244140625,432.93426513671875,367.74053955078125,2213.97998046875,127.48565673828125,126.77639770507812,15.789999961853027,167.6699981689453,20.549999237060547
2021-08-27,,,,,,,,436.80517578125,371.31500244140625,2277.14990234375,127.73881530761719,127.48265075683594,16.010000228881836,170.19000244140625,20.790000915527344
2021-08-29,390.48,391.01,518.82,283.91,328.98,1767.4200439453125,2035.6099853515625,,,,,,,,
2021-08-30,390.84,391.42,519.26,283.94,328.99,1767.6500244140625,2030.3199462890625,438.7260437011719,375.48199462890625,2265.989990234375,127.93354034423828,127.6992416381836,16.030000686645508,169.35000610351562,20.94059944152832
2021-08-31,391.4,391.77,519.12,283.98,328.97,1757.7099609375,2019.77001953125,438.0760498046875,375.17584228515625,2273.77001953125,127.84588623046875,127.40734100341797,15.90999984741211,169.69000244140625,20.8075008392334
2021-09-01,391.17,391.37,518.22,283.96,329.0,1768.219970703125,2023.6700439453125,438.3088684082031,375.7979736328125,2287.06005859375,127.87411499023438,127.57144165039062,15.84000015258789,169.6999969482422,20.670000076293945
2021-09-02,390.93,391.12,517.25,284.05,329.0,1766.8299560546875,2013.550048828125,439.6573791503906,375.6202392578125,2304.02001953125,127.91305541992188,127.79785919189453,16.049999237060547,169.25,21.193899154663086
2021-09-03,,,,,,,,439.5506591796875,376.7755126953125,2292.050048828125,127.84487915039062,127.33560943603516,16.059999465942383,171.05999755859375,21.0
2021-09-05,390.73,390.74,516.72,284.03,329.02,1772.72998046875,2040.699951171875,,,,,,,,
2021-09-07,,,,,,,,437.97906494140625,377.3087463378906,2275.610107421875,127.62088775634766,126.73194885253906,15.84000015258789,167.7100067138672,20.709999084472656
2021-09-08,,,,,,,,437.4454650878906,375.99542236328125,2249.72998046875,127.73775482177734,127.13753509521484,16.0,167.2899932861328,21.0
2021-09-09,390.6,390.59,516.32,284.07,328.97,1800.4200439453125,2045.3699951171875,435.5730895996094,374.701904296875,2249.1298828125,127.87411499023438,127.96766662597656,15.829999923706055,168.02999877929688,20.600000381469727
2021-09-10,,,,,,,,432.1387939453125,371.85809326171875,2227.550048828125,127.69880676269531,127.59976959228516,16.040000915527344,167.17999267578125,21.100000381469727
2021-09-12,390.39,390.2,515.99,284.09,328.93,1794.2099609375,2034.3199462890625,,,,,,,,
2021-09-13,390.82,390.53,516.16,284.13,328.98,1803.3399658203125,2039.8299560546875,433.2447509765625,371.601318359375,2240.780029296875,127.7572250366211,127.9110336303711,16.139999389648438,167.74000549316406,21.40999984741211
2021-09-14,391.25,390.86,516.57,284.18,328.94,1812.02001953125,2037.550048828125,430.9067077636719,370.5448303222656,2209.97998046875,127.91305541992188,128.2978057861328,16.170000076293945,168.82000732421875,21.34000015258789
2021-09-15,,,,,,,,434.5059814453125,373.2997131347656,2234.449951171875,127.83516693115234,128.14688110351562,16.510000228881836,167.8300018310547,22.0
2021-09-16,,,,,,,,433.8171691894531,373.55645751953125,2232.909912109375,127.5819091796875,127.96766662597656,16.43000030517578,164.02999877929688,22.0
2021-09-17,,,,,,,,429.59130859375,369.13275146484375,2236.8701171875,127.40654754638672,127.68466186523438,16.290000915527344,163.77000427246094,21.760000228881836
2021-09-19,390.87,390.02,515.56,284.22,328.95,1806.6099853515625,2054.830078125,,,,,,,,
2021-09-20,,,,,,,,422.42822265625,361.5052490234375,2182.199951171875,127.66956329345703,128.08082580566406,16.09000015258789,164.94000244140625,21.440000534057617
2021-09-21,,,,,,,,422.0291442871094,361.9501037597656,2186.179931640625,127.65008544921875,128.07142639160156,16.040000915527344,166.0399932861328,21.459999084472656
