,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2021-05-04,388.09,443.05,239.26,134.16122436523438,105.79281616210938,514.33,723.29,325.6139831542969,126.33912658691406,122.0819320678711,166.5800018310547,997.14,1956.52,363.53,328.58,367.8,655.62,19.420000076293945,283.53
2021-05-05,389.21,442.13,239.34,133.8375701904297,105.79281616210938,513.11,719.92,324.51922607421875,126.46499633789062,122.23072052001953,167.27000427246094,1023.34,1982.75,364.21,328.54,368.65,670.48,19.34000015258789,283.53
2021-05-06,388.78,440.73,239.26,135.1811065673828,105.79281616210938,511.24,714.58,326.9653015136719,126.46499633789062,122.46315002441406,170.05999755859375,1034.81,1963.23,364.3,328.57,369.04,672.1,19.249000549316406,283.59
2021-05-07,,,,136.3382110595703,105.79281616210938,,,329.61834716796875,126.62956237792969,122.50965118408203,171.58999633789062,,,,,,,19.229999542236328,
2021-05-09,390.1,440.5,239.4,,,510.93,713.84,,,,,1036.19,1987.86,364.89,328.48,369.92,676.27,,283.58
2021-05-10,392.38,440.01,239.74,132.89617919921875,105.78323364257812,510.25,711.84,321.2940368652344,126.53275299072266,121.84945678710938,172.11000061035156,1026.68,1978.72,365.74,328.54,371.09,669.49,19.299999237060547,283.67
2021-05-11,390.02,438.22,239.47,132.49412536621094,105.78323364257812,507.89,705.42,320.8502502441406,126.43596649169922,121.40311431884766,172.13999938964844,1008.99,1934.92,364.73,328.56,370.12,655.51,19.489999771118164,283.63
2021-05-12,392.34,438.77,239.98,128.76768493652344,105.78323364257812,508.62,707.45,312.545654296875,126.11653137207031,120.74291229248047,170.42999267578125,1003.27,1940.91,365.15,328.53,370.81,651.02,19.575000762939453,283.65
2021-05-13,394.51,438.94,240.15,130.47401428222656,105.79281616210938,508.84,708.29,314.9620361328125,126.31009674072266,121.19855499267578,171.1300048828125,1004.45,1948.58,366.11,328.51,371.98,652.16,18.984100341796875,283.66
2021-05-14,,,,133.34727478027344,105.78323364257812,,,321.91546630859375,126.3875503540039,121.85871887207031,172.69000244140625,,,,,,,19.356000900268555,
2021-05-17,,,,132.36663818359375,105.78323364257812,,,319.9625549316406,126.32948303222656,121.71927642822266,174.6999969482422,,,,,,,19.641399383544922,
2021-05-18,392.54,440.13,239.69,131.30752563476562,105.78323364257812,510.42,712.46,317.8025817871094,126.37785339355469,121.3194351196289,175.0399932861328,1020.5,1981.05,366.25,328.48,371.37,669.61,19.475400924682617,283.66
2021-05-19,392.02,440.17,239.53,131.76844787597656,105.78323364257812,510.46,712.69,318.1675109863281,126.19393157958984,121.10557556152344,175.16000366210938,1021.26,1970.14,365.88,328.51,371.08,674.14,18.790000915527344,283.74
2021-05-20,390.79,440.52,239.36,134.2886962890625,105.78323364257812,510.93,714.05,324.3219909667969,126.42628479003906,121.9331283569336,175.9600067138672,1014.96,2004.87,365.15,328.5,369.75,671.86,18.431400299072266,283.68
2021-05-21,,,,133.55322265625,105.79281616210938,,,322.5269470214844,126.39723205566406,122.01680755615234,176.0399932861328,,,,,,,18.89150047302246,
2021-05-23,390.54,440.55,239.38,,,510.97,714.14,,,,,1026.2,2044.52,365.44,328.55,369.98,680.95,,283.67
2021-05-24,390.35,440.95,239.31,135.9263458251953,105.79281616210938,511.52,715.69,327.9515380859375,126.48434448242188,122.35157012939453,176.35000610351562,1013.31,2033.45,365.43,328.53,369.63,676.57,19.520000457763672,283.62
2021-05-25,390.12,441.13,239.43,135.965576171875,105.79281616210938,511.75,716.39,328.4052429199219,126.68766021728516,122.80722045898438,177.9499969482422,1004.98,2014.51,365.56,328.5,369.81,671.29,19.420000076293945,283.65
2021-05-26,389.17,441.29,239.43,135.95579528808594,105.79281616210938,511.97,717.1,329.54931640625,126.64891815185547,122.74209594726562,177.63999938964844,994.59,2010.03,365.23,328.52,369.46,662.52,19.559999465942383,283.65
2021-05-27,388.11,440.84,239.31,135.23988342285156,105.79281616210938,511.37,715.32,328.3164367675781,126.56179809570312,122.37016296386719,177.7100067138672,991.08,1999.92,364.94,328.54,369.11,661.93,19.729999542236328,283.64
2021-05-28,,,,135.72039794921875,105.78323364257812,,,329.3520202636719,126.60049438476562,122.47247314453125,178.3800048828125,,,,,,,19.700000762939453,
2021-05-30,388.62,440.8,239.43,,,511.34,715.28,,,,,1004.12,2021.85,365.08,328.54,369.2,671.86,,283.57
2021-05-31,389.37,441.06,239.67,,,511.67,715.9,,,,,1023.67,2015.84,364.9,328.6,368.81,680.46,,283.6
2021-06-01,389.95,440.05,239.78,135.05360412597656,105.77367401123047,510.34,712.4,328.2572937011719,126.58694458007812,122.48829650878906,177.89999389648438,1017.11,1992.39,365.3,328.58,369.55,678.52,20.110000610351562,283.58
2021-06-02,390.23,440.16,239.83,135.9851837158203,105.78323364257812,510.47,712.73,328.8983459472656,126.64506530761719,122.68392944335938,178.77000427246094,1007.38,1986.12,365.71,328.55,370.2,673.58,20.299999237060547,283.62
2021-06-03,390.48,440.71,239.84,134.7201690673828,105.77367401123047,511.2,714.75,325.4759521484375,126.40290832519531,122.19949340820312,175.27000427246094,1026.35,1967.45,365.63,328.53,370.39,684.44,20.31999969482422,283.62
2021-06-04,,,,137.30906677246094,105.78323364257812,,,330.9991455078125,126.75155639648438,123.06595611572266,177.16000366210938,,,,,,,20.5,
2021-06-06,391.04,440.96,239.88,,,511.52,715.63,,,,,1019.73,1996.79,365.9,328.55,370.53,682.99,,283.65
2021-06-07,390.19,439.53,239.75,137.27963256835938,105.77367401123047,509.62,710.0,331.9854736328125,126.70318603515625,122.96344757080078,177.8699951171875,1027.43,1991.35,365.46,328.61,369.99,687.46,20.450000762939453,283.67
2021-06-08,389.95,439.02,239.75,137.28944396972656,105.78323364257812,508.95,708.15,332.1432800292969,126.84841918945312,123.42928314208984,177.32000732421875,1017.04,1986.26,365.44,328.61,370.17,683.22,20.75,283.65
2021-06-09,390.77,439.62,239.8,137.38754272460938,105.76409149169922,509.76,710.27,332.22216796875,126.99371337890625,123.87654876708984,176.97999572753906,1026.93,1975.47,365.78,328.55,370.57,689.3,20.579999923706055,283.62
2021-06-10,391.44,439.48,239.83,138.39755249023438,105.77367401123047,509.52,709.59,335.6840515136719,127.1487045288086,124.43550109863281,177.74000549316406,1026.86,1983.51,365.91,328.58,370.49,690.7,20.790000915527344,283.78
